Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,-,0,0,-,0,0,911,941,847,911,941,847
38,Meherpur,73,74,74,67,78,78,121,131,144,188,209,222
39,Narail,-,0,0,-,0,0,236,243,235,236,243,235
40,Satkhira,-,0,0,-,0,0,749,902,937,749,902,937
4,Khulna,163,139,135,486,468,421,9576,9390,9342,10062,9858,9763
41,Jamalpur,0,0,0,0,0,0,2236,2096,2029,2236,2096,2029
42,Mymensing,59,60,0,-,0,0,2706,3372,3033,2706,3372,3033
43,Netrakona,0,0,0,0,0,0,1191,1113,1171,1191,1113,1171
44,Sherpur,0,0,0,0,0,0,666,695,725,666,695,725
5,Mymensing,59,60,0,0,0,0,6799,7276,6958,6799,7276,6958
45,Bogura,-,0,0,-,0,0,2166,2114,2141,2166,2114,2141
46,Joypurhat,-,0,0,-,0,0,220,190,162,220,190,162
47,Naogaon,-,0,0,-,0,0,560,554,573,560,554,573
48,Natore,-,0,0,-,0,0,4556,4642,4769,4556,4642,4769
49,Chapai Nawabganj,-,0,0,1,1,0,70,76,82,71,77,82
50,Pabna,-,0,0,-,0,0,786,793,807,786,793,807
51,Rajshahi,-,0,0,-,0,0,444,540,496,444,540,496
52,Sirajganj,95,0,0,-,0,0,919,987,755,919,987,755
6,Rajshahi,95,0,0,1,1,0,9721,9896,9785,9722,9897,9785
53,Dinajpur,-,0,0,-,0,0,511,519,544,511,519,544
54,Gaibandha,-,0,0,-,0,0,298,330,275,298,330,275
55,Kurigram,-,0,0,-,0,0,1407,1557,1163,1407,1557,1163
56,Lalmonirhat,-,0,0,-,0,0,207,279,278,207,279,278
57,Nilphamari,-,0,0,-,0,0,671,649,648,671,649,648
58,Panchagarh,-,0,0,-,0,0,407,448,450,407,448,450
59,Rangpur,-,0,0,-,0,0,667,667,637,667,667,637
60,Thakurgaon,-,0,0,-,0,0,715,452,351,715,452,351
7,Rangpur,-,0,0,-,0,0,4883,4901,4346,4883,4901,4346
61,Habiganj,1,1,1,13,11,9,2172,1886,2058,2185,1897,2067
62,Maulvibazar,-,0,0,-,0,0,428,571,503,428,571,503
63,Sunamganj,-,0,0,-,0,0,2042,2113,1467,2042,2113,1467
64,Sylhet,-,0,0,-,0,0,651,238,231,651,238,231
8,Sylhet,1,1,1,13,11,9,5293,4808,4259,5306,4819,4268
,BANGLADESH,386,354,290,780,680,1264,50522,51322,50831,51302,52002,52095
