"Name of
Distict/Division",January,,,,February,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Bandarban,322,217,288,188,325,216,290,191
Khagrachhari,299,"206
206",259,166,300,205,256,160
Rangamati,364,263,319,225,370,250,330,220
Chattagram,390,287,345,245,395,285,364,261
Coxs Bazar,350,270,305,225,350,300,318,273
Cumilla,320,220,280,185,306,190,260,160
Chandpur,300,200,260,165,305,205,265,173
Brahmmanbaria,290,200,255,170,292,202,257,177
Noakhali,296,-,255,-,295,-,258,-
Lakshmipur,290,-,254,-,295,-,258,-
Feni,284,-,249,-,270,-,235,-
Chattagram,319,233,279,196,318,232,281,202
Sylhet,299,238,254,194,297,245,250,208
"Division
Maulavi Bazar",294,216,261,183,302,232,256,200
Sunamganj,295,238,250,195,299,228,260,200
"DivisionmDivision
Habiganj",298,233,256,203,300,240,254,206
Sylhet Division,297,231,255,194,300,236,255,204
Dhaka,326,251,287,212,315,300,277,269
Gagipur,306,-,276,200,313,250,273,220
Manikganj,298,245,264,213,304,247,271,218
Munshiganj,295,-,250,-,303,-,257,-
Narayanganj,319,250,275,210,347,283,304,252
Narsindhi,322,-,287,-,313,-,280,-
Faridpur,306,-,271,232,306,-,266,230
Rajbari,313,-,283,-,313,-,280,-
Madaripur,279,-,-,-,302,-,-,-
Gopalganj,289,236,253,200,305,230,273,196
Sariatpur,252,-,-,-,300,-,270,-
Mymensingh,330,245,300,215,304,205,276,175
Jamalpur,345,-,317,260,300,-,275,298
Sherpur,312,248,280,-,308,270,276,-
Tangail,296,220,261,192,298,213,268,188
Kishoerganj,261,192,231,-,302,-,274,-
Natrokona,301,227,267,195,300,225,270,195
Dhaka Division,303,235,273,213,308,247,274,214
Barishal,332,264,292,-,317,285,275,-
Jhalokathi,348,-,308,-,355,-,320,-
Perojpur,325,-,285,232,314,-,272,-
Bhola,328,-,287,-,331,-,287,-
Patuakhali,273,-,243,-,318,-,281,-
Barguna,306,-,277,-,320,-,295,-
Barishal Division,319,264,282,232,326,285,288,-
