Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,7,114,113,2067,1229,1179,5008,4820,4829,7075,6049,6008
38,Meherpur,-,0,0,-,0,0,1001,1049,1132,1001,1049,1132
39,Narail,136,42,42,1183,1132,1140,8142,8481,7256,9325,9613,8396
40,Satkhira,220,224,221,862,2681,3045,13329,10891,10527,14191,13572,13572
4,Khulna,2252,9718,2118,22098,16454,16777,74204,72197,76349,96302,88651,93126
41,Jamalpur,0,0,0,0,0,0,5212,5297,5257,5212,5297,5257
42,Mymensing,7,8,8,64,54,33,11877,9427,9770,11941,9481,9803
43,Netrakona,0,0,0,0,0,0,1123,1135,1146,1123,1135,1146
44,Sherpur,0,0,0,0,0,0,666,738,835,666,738,835
5,Mymensing,7,8,8,64,54,33,18878,16597,17008,18942,16651,17041
45,Bogura,-,0,0,-,0,0,6495,7544,8018,6495,7544,8018
46,Joypurhat,20,20,20,129,136,149,461,501,507,590,637,656
47,Naogaon,7,40,6,20,43,42,2239,2899,2967,2259,2942,3009
48,Natore,-,0,0,-,0,0,15232,14292,13410,15232,14292,13410
49,Chapai Nawabganj,4,4,4,22,135,28,2581,2534,538,2603,2669,566
50,Pabna,13,20,16,842,918,924,14280,10563,10761,15122,11481,11685
51,Rajshahi,151,133,132,2548,1316,1294,9521,10311,10976,12069,11627,12270
52,Sirajganj,-,0,0,-,0,0,2762,2996,3601,2762,2996,3601
6,Rajshahi,195,217,178,3561,2548,2437,53571,51640,50778,57132,54188,53215
53,Dinajpur,1,0,0,7,0,0,2689,2724,2687,2696,2724,2687
54,Gaibandha,-,0,0,-,0,0,1459,1578,1574,1459,1578,1574
55,Kurigram,-,0,0,-,0,0,230,421,494,230,421,494
56,Lalmonirhat,-,0,0,-,0,0,242,683,675,242,683,675
57,Nilphamari,-,0,0,-,0,0,2583,2694,1934,2583,2694,1934
58,Panchagarh,-,8,0,32,33,27,1405,1584,1496,1437,1617,1523
59,Rangpur,8,0,0,-,0,0,1973,2006,1969,1973,2006,1969
60,Thakurgaon,-,0,0,-,0,0,699,919,772,699,919,772
7,Rangpur,9,8,0,39,33,27,11280,12609,11601,11319,12642,11628
61,Habiganj,-,0,0,-,0,0,2846,2210,3060,2846,2210,3060
62,Maulvibazar,-,0,0,-,0,0,2422,2571,2933,2422,2571,2933
63,Sunamganj,2,2,2,36,20,21,2619,3270,3507,2655,3290,3528
64,Sylhet,13,22,13,48,141,70,2444,2687,2963,2492,2828,3033
8,Sylhet,15,24,15,84,161,91,10331,10738,12463,10415,10899,12554
,BANGLADESH,4087,11635,3585,40358,48581,42890,380970,375001,428156,421328,423582,471046
