Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,-,0,0,-,0,0,948,927,889,948,927,889
38,Meherpur,-,0,0,-,0,0,48,29,37,48,29,37
39,Narail,-,0,0,-,0,0,801,457,506,801,457,506
40,Satkhira,-,0,0,-,0,0,1154,1271,917,1154,1271,917
4,Khulna,19,0,32,188,0,85,8010,7350,7232,8198,7350,7317
41,Jamalpur,0,0,0,0,0,0,156,113,145,156,113,145
42,Mymensing,0,0,0,0,0,0,182,810,792,182,810,792
43,Netrakona,0,0,0,0,0,0,131,126,189,131,126,189
44,Sherpur,0,0,0,0,0,0,58,63,59,58,63,59
5,Mymensing,0,0,0,0,0,0,527,1112,1185,527,1112,1185
45,Bogura,-,0,0,-,0,0,88,0,231,88,0,231
46,Joypurhat,-,0,0,-,0,0,93,26,29,93,26,29
47,Naogaon,-,0,0,-,0,0,86,57,56,86,57,56
48,Natore,-,0,0,-,0,0,120,232,268,120,232,268
49,Chapai Nawabganj,1,0,0,2,2,0,62,65,67,64,67,67
50,Pabna,-,0,0,-,0,0,74,62,40,74,62,40
51,Rajshahi,-,0,0,-,0,0,-,133,141,-,133,141
52,Sirajganj,-,0,0,-,0,0,366,377,224,366,377,224
6,Rajshahi,1,0,0,2,2,0,889,952,1056,891,954,1056
53,Dinajpur,-,0,0,-,0,0,189,91,98,189,91,98
54,Gaibandha,-,0,0,-,0,0,48,48,53,48,48,53
55,Kurigram,-,0,0,-,0,0,96,49,40,96,49,40
56,Lalmonirhat,-,0,0,-,0,0,109,74,31,109,74,31
57,Nilphamari,-,0,0,-,0,0,77,53,74,77,53,74
58,Panchagarh,-,0,0,-,0,0,68,72,57,68,72,57
59,Rangpur,-,0,0,-,0,0,48,56,68,48,56,68
60,Thakurgaon,-,0,0,-,0,0,102,65,112,102,65,112
7,Rangpur,-,0,0,-,0,0,737,508,533,737,508,533
61,Habiganj,-,0,0,-,0,0,-,0,0,-,0,0
62,Maulvibazar,-,0,0,-,0,0,-,13,7,-,13,7
63,Sunamganj,-,0,0,-,0,0,-,0,0,-,0,0
64,Sylhet,-,0,0,-,0,0,-,1,3,-,1,3
8,Sylhet,-,0,0,-,0,0,-,14,10,-,14,10
,BANGLADESH,84,15,37,312,47,123,15374,15424,15629,15686,15471,15752
