Name of Distict/Division,November,,,,December,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,230,190,203,170,236,190,200,170
Jhenaidah,296,221,284,210,265,220,254,208
Magura,295,-,261,-,275,-,239,-
Narial,293,175,254,-,278,176,256,-
Khulna,273,153,267,128,289,155,265,155
Bagerhat,324,150,300,-,328,200,300,-
Satkhira,253,185,-,-,213,177,-,-
Kushita,296,-,265,-,294,-,265,-
Chuadang,225,-,210,153,205,-,200,-
Meherpur,203,150,175,150,196,180,180,156
Khulna Division,269,175,247,162,258,188,240,172
Rajshahi,285,207,256,191,271,225,241,203
Noagoan,200,180,180,170,239,193,215,185
Natore,250,209,230,185,253,207,240,186
Nawbganj,240,220,231,183,224,190,219,190
Bogura,263,220,250,210,281,225,263,205
Joypurhat,307,243,281,220,278,197,256,170
Pabna,300,280,270,250,305,267,275,257
Sirajganj,277,245,252,220,278,220,263,200
Rajshahi Division,265,226,244,204,266,217,247,200
Rangpur,293,175,274,165,260,175,245,165
Gaibanda,233,180,-,-,240,190,228,175
Kurigarm,252,185,226,165,265,183,230,162
Nilphamari,281,185,269,163,260,180,250,165
Lalmonirhat,250,174,222,154,250,165,223,153
Dinajpur,302,223,277,216,300,225,280,210
Thakurgaon,298,230,272,200,292,228,270,200
Panchagar,289,234,268,214,271,230,250,212
Rangpur Division,275,198,258,182,267,197,247,180
Bangladesh,309,230,287,213,309,229,287,209
