Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Bandarban,9166,3709,35.40,3.265,12112,9191,3719,30.24,2.789,10375
2,Chattagram,142556,57689,35.90,3.311,191032,132316,53545,30.62,2.824,151232
3,Cox's Bazar,108701,43989,36.80,3.394,149317,113774,46042,41.35,3.814,175609
4,Cumilla,346714,140308,39.00,3.597,504735,339415,137354,39.13,3.609,495756
5,Chandpur,138933,56223,36.60,3.376,189808,136046,55055,38.58,3.559,195918
6,Brahmanbaria,254338,102925,42.20,3.893,400637,243668,98607,42.20,3.893,383829
7,Khagrachari,18187,7360,33.50,3.090,22742,18311,7410,33.30,3.072,22761
8,Noakhali,52938,21423,39.80,3.671,78646,48879,19780,41.68,3.845,76046
9,Lakshmipur,46288,18732,39.80,3.671,68767,45303,18333,38.90,3.588,65782
10,Feni,72947,29520,37.60,3.468,102382,67655,27378,39.05,3.602,98616
11,Rangamati,10950,4431,39.56,3.649,16170,11018,4459,40.34,3.721,16591
1,"Chattagram
Division",1201718,486309,38.71,3.570,1736347,1165576,471683,38.90,3.588,1692515
12,Sylhet,143319,57998,32.50,2.998,173866,120385,48717,32.31,2.980,145190
13,Maulavibazar,115716,46828,37.80,3.487,163272,92104,37272,36.67,3.382,126071
14,Sunamgonj,379033,153386,37.80,3.487,534806,113413,45896,38.38,3.540,162478
15,Hobigonj,188997,76483,34.30,3.164,241978,171022,69209,35.11,3.239,224135
2,"Sylhet
Division",827065,334695,36.08,3.328,1113922,496924,201094,35.47,3.271,657875
16,Dhaka,116273,47053,48.20,4.446,209196,117559,47574,49.30,4.547,216337
17,Gazipur,124657,50446,41.00,3.782,190778,119868,48508,40.86,3.769,182822
18,Manikgonj,132088,53453,48.00,4.428,236664,122301,49493,49.83,4.596,227483
19,Munsigonj,60210,24366,45.60,4.206,102485,58660,23738,45.80,4.225,100285
20,Narayangonj,60684,24557,40.10,3.699,90833,59247,23976,43.00,3.966,95096
21,Narsingdi,128396,51959,40.40,3.726,193624,124357,50325,40.43,3.729,187673
22,Faridpur,65933,26682,45.40,4.188,111734,55142,22315,46.78,4.315,96288
23,Rajbari,40375,16339,46.20,4.261,69628,35034,14177,47.10,4.344,61594
24,Madaripur,88173,35682,47.30,4.363,155677,73159,29606,48.52,4.475,132500
25,Gopalgonj,87605,35452,45.80,4.225,149769,91101,36867,47.68,4.398,162139
26,Shariatpur,59514,24084,47.80,4.409,106188,60888,24640,46.67,4.305,106071
27,Kishoregonj,353095,142890,44.00,4.059,579925,253509,102590,46.57,4.296,440684
28,Tangail,408265,165216,46.90,4.326,714730,408460,165295,45.28,4.177,690372
3,"Dhaka
Division",1725268,698178,45.21,4.170,2911231,1579285,639102,45.79,4.224,2699342
29,Jamalpur,270152,109325,43.80,4.040,441682,270389,109421,41.89,3.864,422792
30,Sherpur,150418,60871,40.60,3.745,227957,141850,57404,41.00,3.782,217090
31,Netrokona,419366,169708,43.30,3.994,677811,332670,134624,43.10,3.976,535203
32,Mymensingh,565724,228936,43.10,3.976,910142,573742,232181,43.20,3.985,925183
4,"Mymensingh
Division",1405660,568840,43.03,3.969,2257592,1318651,533629,42.67,3.936,2100268
