Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,-,0,0,-,0,0,1206,1369,1563,1206,1369,1563
38,Meherpur,-,0,0,-,0,0,722,756,714,722,756,714
39,Narail,-,0,0,-,0,0,1763,1523,1571,1763,1523,1571
40,Satkhira,-,0,0,-,0,0,558,0,576,558,0,576
4,Khulna,54,36,36,612,425,404,10609,10786,11814,11221,11211,12218
41,Jamalpur,1,0,0,0,0,0,692,802,815,692,802,815
42,Mymensing,42,5,5,99,127,84,2452,4957,4986,2551,5084,5070
43,Netrakona,0,0,0,0,0,0,541,556,605,541,556,605
44,Sherpur,0,0,0,0,0,0,1024,368,396,1024,368,396
5,Mymensing,43,5,5,99,127,84,4709,6683,6802,4808,6810,6886
45,Bogura,-,0,0,-,0,0,1413,1492,1482,1413,1492,1482
46,Joypurhat,-,0,0,-,0,0,233,217,219,233,217,219
47,Naogaon,-,0,0,-,0,0,1067,1166,526,1067,1166,526
48,Natore,-,1,2,-,12,8,2790,2631,2855,2790,2643,2863
49,Chapai Nawabganj,2,1,1,11,10,10,309,323,311,320,333,321
50,Pabna,-,0,0,-,0,0,479,522,533,479,522,533
51,Rajshahi,-,0,0,-,0,0,1949,1991,1617,1949,1991,1617
52,Sirajganj,-,0,0,-,0,0,1011,1024,1083,1011,1024,1083
6,Rajshahi,2,2,3,11,22,18,9251,9366,8626,9262,9388,8644
53,Dinajpur,10,9,9,25,45,25,1080,1116,1096,1105,1161,1121
54,Gaibandha,-,0,0,-,0,0,291,332,335,291,332,335
55,Kurigram,-,10,0,-,44,0,314,348,364,314,392,364
56,Lalmonirhat,-,0,0,-,0,0,331,502,518,331,502,518
57,Nilphamari,-,10,0,-,39,8,1567,1394,1381,1567,1433,1389
58,Panchagarh,24,0,0,76,0,0,881,1021,1229,957,1021,1229
59,Rangpur,-,0,0,-,0,0,1205,1324,1241,1205,1324,1241
60,Thakurgaon,-,0,0,-,0,0,1709,716,430,1709,716,430
7,Rangpur,34,29,9,101,128,33,7378,6753,6594,7479,6881,6627
61,Habiganj,-,0,0,-,0,0,1605,1201,13,1605,1201,13
62,Maulvibazar,96,98,98,884,1007,966,2056,2236,2290,2940,3243,3256
63,Sunamganj,11,9,2,80,90,56,624,721,706,704,811,762
64,Sylhet,64,94,89,113,117,97,424,298,284,537,415,381
8,Sylhet,171,201,189,1077,1214,1119,4709,4456,3293,5786,5670,4412
,BANGLADESH,900,812,777,3766,3768,3481,59457,62702,62079,63223,66470,65560
