Zila/Division,,2014-15,,2015-16,,2016-17,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,37,81,32,74,25,60
2,Barishal,244,1140,253,902,249,835
3,Bhola,131,357,132,350,136,384
4,Jhallokati,225,132,133,476,135,466
5,Patuakhali,87,109,106,149,113,163
6,Pirojpur,100,193,103,216,97,196
1,Barishal,824,2012,759,2167,755,2104
7,Bandarban,323,692,334,745,338,775
8,Brahmanbaria,28,38,259,866,263,845
9,Chandpur,199,407,185,372,187,375
10,Chittagang,838,3597,842,3598,844,3619
11,Cumilla,559,1687,445,1366,450,1455
12,Cox's Bazar,216,549,226,567,39,141
13,Feni,274,479,123,321,118,315
14,Khagrachhari,645,2604,644,2594,659,2596
15,Laksmipur,78,136,91,167,90,166
16,Noakhali,274,479,261,456,213,361
17,Rangamati,600,1661,610,1801,632,1801
2,Chittagang,4034,12329,4020,12853,3833,12449
18,Dhaka,115,249,520,1273,298,655
19,Faridpur,290,659,278,651,277,638
20,Gazipur,335,696,320,699,301,613
21,Gopalganj,552,3010,576,3056,576,3225
22,Kishorganj,293,1016,285,936,284,911
23,Madaripur,454,1968,436,2298,442,2306
24,Manikganj,356,540,356,540,357,525
25,Munshiganj,404,810,493,902,442,914
26,Narayanganj,294,1252,292,1286,297,1108
27,Narsingdi,320,1113,318,1100,333,1131
28,Rajbari,614,1760,718,2444,676,2428
29,Shariatpur,228,596,232,602,214,613
30,Tangail,780,2464,829,2615,820,2543
3,Dhaka,5035,16133,5653,18402,5317,17610
31,Bagerhat,366,1026,371,1057,379,1049
32,Chuadanga,4064,21055,4060,21670,3930,20906
33,Jashore,1303,4982,1280,5103,1272,6410
34,Jhenaidah,452,1482,685,3696,1020,6352
35,Khulna,341,1536,345,1545,347,1593
36,Kushtia,620,3254,590,3410,574,3255
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,251,1132,218,760,224,801
38,Meherpur,202,718,256,1173,267,1224
39,Narail,241,893,244,912,243,900
40,Satkhira,382,1486,377,1429,393,1506
4,Khulna,8222,37564,8426,40755,8649,43996
41,Jamalpur,308,1018,301,993,322,1013
42,Mymensing,909,6080,835,2834,859,291
43,Netrakona,300,641,286,583,294,615
44,Sherpur,424,1818,422,1914,432,1987
5,Mymensing,1941,9557,1844,6324,1907,3906
45,Bogura,552,1739,540,1708,535,1692
46,Joypurhat,203,640,207,946,206,952
47,Naogaon,329,1262,292,1182,290,863
48,Natore,408,1055,403,1011,373,974
49,Chapai Nawabganj,263,787,279,843,285,863
50,Pabna,628,1344,667,1436,684,1489
51,Rajshahi,608,2806,461,1842,510,1489
52,Sirajganj,397,1429,445,1646,413,2033
6,Rajshahi,3388,11062,3294,10614,3296,10355
53,Dinajpur,430,1374,493,2102,469,1974
54,Gaibandha,290,791,291,790,292,792
55,Kurigram,345,1355,322,1011,336,1063
56,Lalmonirhat,246,714,281,1273,276,1110
57,Nilphamari,330,842,242,1268,229,1225
58,Panchagarh,221,892,340,923,328,924
59,Rangpur,517,1583,516,1736,525,1852
60,Thakurgaon,819,2158,810,2104,820,2109
7,Rangpur,3198,9709,3295,11207,3275,11049
61,Habiganj,157,832,176,917,183,939
62,Maulvibazar,212,691,223,729,226,757
63,Sunamganj,110,146,114,261,117,254
64,Sylhet,256,458,266,494,275,481
8,Sylhet,735,2127,779,2401,801,2431
,BANGLADESH,27377,100493,28070,104723,27833,103900
