Name of Distict/Division,July,,,,August,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,262,210,245,185,234,156,164,120
Jhenaidah,271,188,253,175,268,200,262,218
Magura,285,-,255,-,360,-,324,-
Narial,275,172,245,-,215,141,283,-
Khulna,280,215,280,190,266,254,328,193
Bagerhat,310,-,290,-,315,-,324,-
Satkhira,270,180,230,-,249,173,-,-
Kushita,275,-,260,-,292,-,246,-
Chuadang,206,-,195,-,208,-,208,150
Meherpur,200,-,175,170,203,-,188,195
Khulna Division,263,193,243,180,261,185,259,175
Rajshahi,250,200,235,190,276,220,246,197
Noagoan,260,200,230,180,246,202,246,205
Natore,240,198,230,180,240,197,249,222
Nawbganj,230,200,200,185,242,190,246,183
Bogura,272,200,250,193,250,215,263,224
Joypurhat,305,230,285,200,301,220,302,175
Pabna,320,259,310,250,330,257,292,300
Sirajganj,320,228,290,200,257,220,248,225
Rajshahi Division,275,214,254,197,268,215,262,216
Rangpur,265,190,250,178,220,145,235,155
Gaibanda,250,170,230,-,205,145,-,-
Kurigarm,220,190,200,170,225,150,230,150
Nilphamari,270,190,250,175,240,151,240,158
Lalmonirhat,270,190,250,170,234,169,244,166
Dinajpur,290,200,275,180,242,196,270,206
Thakurgaon,280,180,255,260,292,262,272,238
Panchagar,252,200,240,190,245,195,267,219
Rangpur Division,262,189,244,189,238,177,251,185
Bangladesh,304,227,282,211,299,232,290,213
