Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,4359,504,628,4744,3197,3464,2021,3941,4425,6765,7138,7889
38,Meherpur,390,440,4441,2801,7595,6095,3340,3564,1889,6141,11159,7984
39,Narail,519,539,547,2979,3455,3578,8557,8924,9777,11536,12379,13355
40,Satkhira,1287,1183,1080,3999,3816,4355,5047,5329,10818,9046,9145,15173
4,Khulna,11841,7545,11437,37641,47367,46474,55020,75459,86134,92661,122826,132608
41,Jamalpur,12,13,16,135,149,170,8517,8791,9801,8652,8940,9971
42,Mymensing,0,231,250,1066,1314,1414,10609,25879,26584,11675,27193,27998
43,Netrakona,2,2,2,15,14,14,15714,14749,15302,15729,14763,15316
44,Sherpur,11,11,11,74,73,74,9189,9467,9965,9263,9540,10039
5,Mymensing,25,257,279,1290,1550,1672,44029,58886,61652,45319,60436,63324
45,Bogura,42,0,53,11045,368,466,6080,16686,20947,17125,17054,21413
46,Joypurhat,151,103,96,439,363,453,4506,3673,5324,4945,4036,5777
47,Naogaon,1541,1754,1754,6555,7100,7100,14100,14219,14219,20655,21319,21319
48,Natore,1873,1876,1887,17894,18732,13693,48020,50937,55513,65914,69669,69206
49,Chapai Nawabganj,4443,44661,44968,139062,151732,145990,13223,15171,15357,152285,166903,161347
50,Pabna,4500,1675,1718,7657,3261,9235,18355,24751,20935,26012,28012,30170
51,Rajshahi,14303,21767,22054,115304,149747,138930,115677,127311,58385,230981,277058,197315
52,Sirajganj,36,37,142,83,185,163,25070,33591,25883,25153,33776,26046
6,Rajshahi,26889,71873,72672,298039,331488,316030,245031,286339,216563,543070,617827,532593
53,Dinajpur,10641,1811,2081,11321,11084,11788,21972,22177,227044,33293,33261,238832
54,Gaibandha,6,3,10,16,15,20,5319,6334,8637,5335,6349,8657
55,Kurigram,77,77,75,559,525,684,9469,9084,9378,10028,9609,10062
56,Lalmonirhat,214,219,258,1196,1079,1232,4980,4351,4817,6176,5430,6049
57,Nilphamari,274,278,280,1193,1282,1341,6598,6642,7267,7791,7924,8608
58,Panchagarh,509,509,514,2475,2590,2656,8745,9089,9161,11220,11679,11817
59,Rangpur,744,735,918,2965,2707,4014,15725,15134,15552,18690,17841,19566
60,Thakurgaon,1074,1098,1138,11019,13851,7863,28383,34830,19355,39402,48681,27218
7,Rangpur,13539,4730,5274,30744,33133,29598,101191,107641,301211,131935,140774,330809
61,Habiganj,33,37,40,41,33,84,15445,7979,9593,15486,8012,9677
62,Maulvibazar,30,62,62,177,142,176,6937,6422,6542,7114,6564,6718
63,Sunamganj,-,0,0,9382,0,0,4277,15813,14485,13659,15813,14485
64,Sylhet,239,88,114,118,98,112,4444,4656,4661,4562,4754,4773
8,Sylhet,302,187,216,9718,273,372,31103,34870,35281,40821,35143,35653
,BANGLADESH,61997,93480,102939,396475,437449,416993,621637,724236,871322,1018112,1161685,1288315
