Zila/Division,,2014-15,,,,,2015-16,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Barishal,1661,672,212.57,19.607,13179,3948,1598,219.93,20.286,32411
34,Jhalakathi,627,254,171.43,15.813,4012,688,278,174.85,16.128,4490
35,Perojpur,2602,1053,127.92,11.799,12424,2243,908,132.94,12.262,11130
36,Bhola,14017,5672,230.62,21.272,120664,20041,8110,289.32,26.687,216434
37,Patuakhali,1165,471,160.19,14.776,6966,1138,461,162.41,14.981,6899
38,Barguna,2147,869,196.67,18.141,15761,1449,586,195.21,18.006,10558
5,"Barishal
Division",22219,8992,208.60,19.241,173008,29507,11941,255.96,23.610,281923
39,Jashore,7785,3150,247.85,22.862,72024,7762,3141,253.10,23.346,73332
40,Jhenaidah,4010,1623,219.68,20.263,32882,4162,1684,224.65,20.722,34901
41,Magura,180,73,160.48,14.803,1078,85,34,163.09,15.043,517
42,Narail,54,22,149.75,13.813,302,63,25,144.80,13.356,341
43,Khulna,1529,619,149.46,13.786,8530,1563,633,155.18,14.314,9054
44,Bagerhat,1606,650,160.12,14.769,9599,1296,524,169.13,15.600,8182
45,Satkhira,8451,3420,185.73,17.132,58589,8238,3334,187.35,17.281,57611
46,Kushtia,4958,2006,230.76,21.285,42707,5504,2227,236.52,21.817,48593
47,Chuadanga,3964,1604,228.45,21.072,33803,4606,1864,235.62,21.734,40510
48,Meherpur,3155,1277,253.90,23.420,29901,3480,1408,251.63,23.210,32687
6,Khulna Division,35692,14444,217.23,20.037,289415,36759,14876,222.81,20.552,305726
49,Bogura,107624,43553,220.01,20.294,883851,117885,47705,226.81,20.921,998040
50,Joypurhat,72548,29359,249.35,23.000,675246,73366,29690,221.98,20.475,607905
51,Pabna,2806,1136,134.52,12.408,14090,2126,860,140.88,12.995,11180
52,Sirajgonj,5938,2403,154.03,14.208,34141,6026,2439,155.10,14.306,34887
53,Rajshahi,78138,31621,249.08,22.975,726488,94878,38395,286.27,26.405,1013838
54,Noagaon,28120,11380,213.34,19.678,223931,34718,14050,210.36,19.404,272612
55,Natore,2430,983,190.28,17.551,17259,1172,474,193.53,17.851,8466
56,Nawabgonj,3157,1278,215.69,19.895,25417,3397,1375,214.14,19.752,27153
7,"Rajshahi
Division",300761,121711.4,231.63,21.365,2600423,333568,134988,238.86,22.032,2974083
57,Dinajpur,92800,37554,219.92,20.285,761798,102690,41556,227.80,21.012,873191
58,Thakurgaon,73519,29752,205.22,18.929,563179,52285,21159,206.77,19.072,403545
59,Panchagar,23493,9507,168.68,15.559,147921,23975,9702,221.22,20.405,197975
60,Rangpur,116807,47269,230.32,21.245,1004218,126359,51135,230.09,21.223,1085254
61,Gaibandha,21715,8788,184.01,16.973,149152,19380,7843,181.48,16.740,131283
62,Kurigram,16967,6866,231.06,21.313,146338,15498,6272,229.98,21.213,133043
63,Nilphamari,49950,20214,204.68,18.880,381626,55851,22602,213.82,19.723,445766
64,Lalmonirhat,9080,3674,185.99,17.156,63038,11635,4708,209.70,19.343,91074
8,"Rangpur
Division",404331,163624,213.17,19.663,3217270,407673,164976,220.87,20.373,3361130
BANGLADESH,,1004539,406515,231.38,21.342,8675863,1051458,425502,237.42,21.900,9318412
