Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Bandarban,23895,9670,26.65,2.458,23766,23969,9700,27.49,2.535,24594
2,Chattagram,428676,173476,30.30,2.795,484869,421886,170728,30.22,2.787,475889
3,Cox's Bazar,188604,76324,26.81,2.473,188716,189032,76497,28.06,2.588,197967
4,Cumilla,340195,137669,23.20,2.140,294604,333732,135054,23.18,2.138,288796
5,Chandpur,94500,38242,19.33,1.783,68192,92040,37247,19.76,1.823,67890
6,Brahmanbaria,161705,65438,24.91,2.298,150378,170410,68961,24.58,2.267,156360
7,Khagrachari,68613,27766,30.76,2.837,78770,65463,26491,30.66,2.828,74922
8,Noakhali,312013,126265,20.49,1.890,238614,314116,127116,21.60,1.992,253264
9,Lakshmipur,210508,85188,26.12,2.410,205261,207018,83776,27.18,2.507,210042
10,Feni,163763,66271,29.06,2.680,177615,162974,65952,29.08,2.682,176883
11,Rangamati,24598,9954,30.75,2.836,28235,24314,9839,30.64,2.826,27804
1,"Chattagram
Division",2017070,816264,25.75,2.375,1939022,2004954,811361,26.11,2.409,1954410
12,Sylhet,315855,127820,23.74,2.190,279939,324428,131289,23.90,2.204,289409
13,Maulavibazar,238563,96541,27.72,2.557,246845,244246,98841,27.97,2.580,254963
14,Sunamgonj,126194,51068,23.31,2.150,109804,142830,57800,23.73,2.189,126520
15,Hobigonj,235916,95470,22.65,2.089,199483,238205,96396,22.68,2.092,201652
2,"Sylhet
Division",916528,370899,24.44,2.254,836071,949709,384326,24.61,2.270,872544
16,Dhaka,43132,17455,17.03,1.571,27419,43361,17547,17.10,1.577,27671
17,Gazipur,103163,41748,24.80,2.287,95483,103172,41751,25.31,2.334,97465
18,Manikgonj,97709,39541,14.57,1.344,53141,50925,20608,13.86,1.279,26348
19,Munsigonj,48966,19815,11.94,1.101,21822,50273,20344,12.05,1.112,22614
20,Narayangonj,17192,6957,15.50,1.430,9945,23639,9566,14.85,1.369,13100
21,Narsingdi,89038,36032,23.92,2.207,79512,88786,35930,24.23,2.235,80294
22,Faridpur,149900,60661,25.87,2.386,144737,163608,66209,25.38,2.341,155026
23,Rajbari,102469,41467,28.24,2.605,108004,107386,43457,28.90,2.666,115854
24,Madaripur,63860,25843,16.46,1.518,39225,63862,25844,17.54,1.618,41806
25,Gopalgonj,54772,22165,14.10,1.301,28836,61727,24980,14.61,1.347,33654
26,Shariatpur,37198,15053,15.67,1.446,21763,45111,18255,16.01,1.476,26951
27,Kishoregonj,193708,78389,28.03,2.586,202701,190364,77036,27.94,2.577,198538
28,Tangail,313141,126721,23.76,2.191,277697,305735,123724,22.97,2.119,262172
3,"Dhaka
Division",1314248,531847,22.63,2.088,1110283,1297949,525252,22.74,2.097,1101493
29,Jamalpur,229371,92821,27.19,2.508,232817,242611,98179,26.40,2.435,239048
30,Sherpur,218028,88231,23.40,2.159,190452,211604,85632,24.25,2.237,191546
31,Netrokona,340452,137773,25.82,2.382,328128,338049,136801,25.62,2.363,323319
32,Mymenshing,641305,259522,27.06,2.496,647789,645413,261184,26.84,2.475,646505
4,"Mymenshing
Division",1429156,578348,26.23,2.419,1399186,1437677,581796,26.10,2.407,1400418
