Crops,Area,,,,,Production,,,,
,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17
SUGAR CROPS,,,,,,,,,,
Sugarcane,67,66,64,60,56,65,66,64,61,56
FIBRES,,,,,,,,,,
Jute,101,98,99,100,109,149,145,147,148,161
Cotton,103,93,110,111,108,71,114,104,116,151
Sunhemp,03,01,03,03,-,12,10,32,30,-
"DRUGS &
NARCOTICS",,,,,,,,,,
Tea,131,134,136,135,121,168,178,174,170,216
Tobacco,93,97,99,89,88,161,172,249,178,186
Betel nut,43,43,34,35,49,1048,941,817,778,1087
Betel Leaves,179,185,186,192,190,220,292,304,351,346
"Other Drugs &
Nurcotics",-,-,-,-,-,-,-,-,-,-
FRUITS (TEMPORARY),,,,,,,,,,
Banana,119,114,115,117,120,112,112,113,115,117
Pineapple,106,103,104,103,108,142,151,150,152,161
Water Melon,135,126,-,-,122,201,237,-,-,205
FRUITS (Permanent),,,,,,,,,,
Mango,76,855,55,83,92,588,610,626,714,792
Jack Fruit,42,40,60,49,64,432,454,479,465,474
Papaya,29,37,38,65,48,458,480,489,770,493
Litchi,169,55,81,65,82,680,668,726,770,896
Ber,46,43,44,90,121,1159,1221,1343,1285,1348
Guava,146,105,105,102,135,1525,1506,1535,1593,1706
Orange,47,61,55,54,53,162,172,187,151,158
Pomelo,14,18,21,18,18,828,866,870,914,902
Lime & Lemon,89,77,107,88,117,1068,1123,1089,1034,1096
Other Fruits,0.25,0.85,0.77,0.13,03,43,61,61,59,61
Other Citrus Fruits,02,0.137,1.64,0.85,01,208,199,232,229,252
