Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M.Tons )",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,"2016-
17"
37,Magura,-,0,0,-,0,0,-,0,0,-,0,0
38,Meherpur,-,0,0,-,0,0,-,0,0,-,0,0
39,Narail,-,0,0,-,0,0,-,0,0,-,0,0
40,Satkhira,-,0,0,-,0,0,-,0,0,-,0,0
4,Khulna,-,0,0,-,0,0,-,0,0,-,0,0
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensing,44,4,14,16,18,57,1,71,4,17,89,61
43,Netrakona,0,0,0,0,0,0,8,12,12,8,12,12
44,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0
5,Mymensing,44,4,14,16,18,57,9,83,16,25,101,73
45,Bogura,-,0,0,-,0,0,-,0,0,-,0,0
46,Joypurhat,-,0,0,-,0,0,-,0,0,-,0,0
47,Naogaon,-,0,0,-,0,0,-,0,0,-,0,0
48,Natore,-,0,0,-,0,0,-,0,0,-,0,0
49,Chapai Nawabganj,-,0,0,-,0,0,-,0,0,-,0,0
50,Pabna,-,0,0,-,0,0,-,0,0,-,0,0
51,Rajshahi,-,0,0,-,0,0,-,0,0,-,0,0
52,Sirajganj,-,0,0,-,0,0,-,0,0,-,0,0
6,Rajshahi,-,0,0,-,0,0,-,0,0,-,0,0
53,Dinajpur,-,0,0,-,0,0,-,0,0,-,0,0
54,Gaibandha,-,0,0,-,0,0,-,0,0,-,0,0
55,Kurigram,-,0,0,-,0,0,-,0,0,-,0,0
56,Lalmonirhat,-,0,0,-,0,0,-,0,0,-,0,0
57,Nilphamari,2,2,2,-,8,8,8,0,0,8,8,8
58,Panchagarh,22,32,32,30,37,38,3,5,4,33,42,42
59,Rangpur,-,0,0,-,0,0,-,0,0,-,0,0
60,Thakurgaon,2,2,2,2,2,3,5,4,4,7,6,7
7,Rangpur,26,36,36,32,47,49,16,9,8,48,56,57
61,Habiganj,-,0,0,-,0,0,-,0,0,-,0,0
62,Maulvibazar,158,120,120,814,205,210,465,182,185,1279,387,395
63,Sunamganj,-,0,0,-,0,0,-,0,0,-,0,0
64,Sylhet,55,118,129,294,121,114,102,3,35,396,124,149
8,Sylhet,213,238,249,1108,326,324,567,185,220,1675,511,544
,BANGLADESH,1089,1073,1055,2908,2438,1704,1046,780,1668,3954,3218,3372
