SL:,Name of crops,2011-12,2012-2013,2013-14,2014-15,2015-16,2016-17
1,2,3,4,5,6,7,8
40,Beans,1487,2031,2049,1924,1823,2587
41,Punkin,921,1128,940,999,1047,1162
42,Cucumber,1385,1266,1720,1650,1981,1984
43,Patal,2067,1698,1816,2087,2246,2191
44,Caulifower,941,1542,1617,1261,1640,1951
45,Brinjal,1775,2287,2050,2005,2361,2411
46,Radish,739,1134,938,824,914,1246
47,Watwr gourd,1205,1205,1526,1265,1330,1563
48,Chichinga,1675,1395,1559,1852,2035,1950
49,Tomato,1592,1918,1904,1986,1697,2006
50,Chalkumra,1295,1163,1221,1382,1551,1528
51,potato (local),1077,1543,1449,1772,1897,1718
52,Potato (Holand),825,1193,1008,1277,1520,1325
53,S.Potato,1237,1259,1267,1270,1400,1302
54,Banana(Chapa),149,195,186,203,211,197
55,Banana(Sabri),232,285,305,321,319,345
56,Banana(Shaghar),201,223,223,249,237,268
57,Pine Apple (local),-,-,-,-,,-
58,"Pine Apple (Jul
Doog)",1782,1927,1867,1653,1717,1599
59,"Pine Apple
(Kelenda)",-,-,2018,1852,2506,2149
60,Lamon,166,-,206,258,258,272
61,Jack Fruit,5586,5527,6529,6228,4636,7717
62,Water melon,6137,6420,7639,6220,8005,8555
63,Litchi,251,203,263,190,204,224
64,Orange,500,-,988,1534,887,909
65,Mango (Guti),2754,3097,3855,3059,3392,2988
66,Mango (Fozli),7141,6082,6182,5685,5393,8966
67,Mango (Ashini),6300,5406,4468,4759,4373,5579
68,Mongo (Langra),5293,5167,4987,4989,4666,5122
69,Mango (Gopalvog),4983,4423,4907,4671,4500,4500
70,Coconut,2056,1822,2625,2637,2555,2470
