Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,0,0,-,0,0,85,80,80,85,80,80
2,Barishal,-,0,0,-,0,0,544,484,971,544,484,971
3,Bhola,-,0,0,-,0,0,199,177,239,199,177,239
4,Jhallokati,-,0,0,-,0,0,19,35,68,19,35,68
5,Patuakhali,-,0,0,-,0,0,59,80,34,59,80,34
6,Pirojpur,-,0,0,-,0,0,104,115,119,104,115,119
1,Barishal,-,0,0,-,0,0,1010,971,1511,1010,971,1511
7,Bandarban,22,23,23,39,64,65,239,215,215,278,279,280
8,Brahmanbaria,-,0,0,-,0,0,721,682,900,721,682,900
9,Chandpur,-,0,0,-,0,0,332,332,361,332,332,361
10,Chittagang,5,5,5,60,29,543,1395,1416,918,1455,1445,1461
11,Cumilla,-,0,0,-,0,0,1260,1390,1402,1260,1390,1402
12,Cox's Bazar,1,95,95,41,27,27,680,725,734,721,752,761
13,Feni,-,0,0,-,0,0,297,277,259,297,277,259
14,Khagrachhari,2,0,4,7,0,136,503,513,392,510,513,528
15,Laksmipur,-,0,0,-,0,0,145,152,131,145,152,131
16,Noakhali,-,0,27,-,0,0,76,581,104,76,581,104
17,Rangamati,25,26,0,96,66,63,429,494,454,525,560,517
2,Chittagang,55,149,154,243,186,834,6077,6777,5870,6320,6963,6704
18,Dhaka,0,0,0,0,0,0,205,209,229,205,209,229
19,Faridpur,0,0,0,0,0,0,874,864,758,874,864,758
20,Gazipur,8,0,0,32,0,0,479,514,506,511,514,506
21,Gopalganj,5,5,0,5,14,0,475,450,360,480,464,360
22,Kishorganj,0,0,0,0,0,0,1319,1407,1648,1319,1407,1648
23,Madaripur,0,0,0,0,0,0,731,694,641,731,694,641
24,Manikganj,0,0,0,0,0,0,303,324,326,303,324,326
25,Munshiganj,0,0,0,0,0,0,110,114,137,110,114,137
26,Narayanganj,0,0,0,0,0,0,104,110,119,104,110,119
27,Narsingdi,0,0,0,0,0,0,388,639,797,388,639,797
28,Rajbari,0,0,0,0,0,0,1270,1244,2453,1270,1244,2453
29,Shariatpur,0,0,0,0,0,0,447,285,296,447,285,296
30,Tangail,0,0,0,0,0,0,458,449,490,458,449,490
3,Dhaka,13,5,0,37,14,0,7163,7303,8760,7200,7317,8760
31,Bagerhat,10,0,0,-,0,0,166,171,170,166,171,170
32,Chuadanga,-,0,0,-,0,0,232,156,161,232,156,161
33,Jashore,-,0,0,-,0,0,936,959,968,936,959,968
34,Jhenaidah,-,0,0,45,0,0,1032,1081,1129,1077,1081,1129
35,Khulna,7,0,0,29,0,0,300,331,341,329,331,341
36,Kushtia,73,65,61,345,390,343,4893,4475,4410,5238,4865,4753
