Zila/Division,,2014-15,,,,,2015-16,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Barishal,291351,117903,21.23,1.958,230832,296870,120137,21.73,2.005,240835
34,Jhalakathi,110928,44890,18.88,1.742,78186,114194,46212,19.02,1.754,81058
35,Perojpur,152797,61834,20.20,1.863,115184,149232,60391,20.89,1.927,116390
36,Bhola,449494,181900,23.45,2.163,393399,453423,183490,24.31,2.242,411372
37,Patuakhali,501477,202937,20.46,1.887,383024,507732,205468,20.87,1.925,395482
38,Barguna,236799,95827,18.95,1.748,167538,237000,95909,19.19,1.770,169803
5,"Barishal
Division",1742846,705292,21.03,1.940,1368163,1758451,711607,21.56,1.988,1414941
39,Jashore,316657,128144,28.41,2.620,335780,304232,123116,30.48,2.811,346090
40,Jhenaidah,212414,85959,31.04,2.863,246120,218617,88470,32.66,3.012,266486
41,Magura,134591,54466,28.23,2.604,141809,142050,57485,28.62,2.640,151739
42,Narail,79935,32348,22.30,2.057,66544,82319,33313,23.05,2.126,70822
43,Khulna,242928,98308,27.63,2.549,250580,233655,94555,27.22,2.510,237373
44,Bagerhat,203572,82381,22.52,2.077,171133,189701,76768,22.66,2.091,160491
45,Satkhira,230831,93412,32.76,3.022,282279,214214,86688,32.70,3.016,261492
46,Kushtia,200364,81083,28.79,2.656,215344,204057,82577,29.72,2.742,226393
47,Chuadanga,91190,36903,29.91,2.759,101810,89810,36344,30.24,2.790,101387
48,Meherpur,60597,24522,32.63,3.010,73810,59230,23969,32.85,3.030,72618
6,"Khulna
Division",1773079,717526,28.48,2.627,1885208,1737885,703284,29.21,2.694,1894891
49,Bogura,444221,179767,28.96,2.671,480227,447636,181148,29.58,2.728,494235
50,Joypurhat,174044,70432,30.82,2.842,200202,174639,70673,30.99,2.858,201989
51,Pabna,227524,92074,22.88,2.111,194335,226205,91540,23.26,2.145,196395
52,Sirajgonj,211881,85744,26.39,2.434,208716,197221,79811,26.78,2.470,197160
53,Rajshahi,177495,71828,31.58,2.913,209258,175542,71038,31.60,2.915,207047
54,Noagaon,513702,207884,30.63,2.825,587366,503787,203872,31.46,2.902,591670
55,Natore,187909,76043,26.58,2.452,186447,194805,78833,27.51,2.537,200021
56,Nawabgonj,130991,53009,28.71,2.649,140403,129509,52409,30.06,2.773,145324
7,"Rajshahi
Division",2067767,836780,28.59,2.637,2206953,2049344,829325,29.20,2.694,2233840
57,Dinajpur,629293,254661,27.12,2.501,636936,625691,253203,27.58,2.544,644047
58,Thakurgaon,313504,126868,30.59,2.821,357934,315692,127754,30.77,2.838,362581
59,Panchagar,225727,91347,29.90,2.758,251912,227466,92051,30.33,2.797,257502
60,Rangpur,386491,156404,30.21,2.786,435771,393225,159130,30.54,2.817,448271
61,Gaibandha,281389,113872,28.07,2.589,294836,279320,113035,27.97,2.580,291596
62,Kurigram,252103,102021,25.91,2.390,243803,249849,101108,26.49,2.443,247025
63,Nilphamari,267200,108130,29.83,2.751,297497,267532,108264,30.22,2.787,301775
64,Lalmonirhat,197889,80081,29.76,2.745,219862,202029,81757,30.59,2.822,230719
8,"Rangpur
Division",2553596,1033384,28.73,2.650,2738552,2560804,1036301,29.12,2.686,2783516
BANGLADESH,,13814290,5590340,26.15,2.412,13483437,13796773,5583252,26.52,2.446,13656054
