"Sl.
No.",District,Extensive,,Semi-intensive,,Intensive,,"Highly
Intensive",,Total,,
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,4> - 10 MT/Ha,,10.0> MT/Ha,,,,
,,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,MT/Ha
1,Dhaka,23,31,1613,5388,274,1693,34,905,1944,8017,4.124
2,Faridpur,541,689,1782,5953,739,4567,19,506,3081,11715,3.802
3,Gazipur,6,7,2650,8852,1182,7306,216,5745,4054,21909,5.404
4,Gopalgonj,624,826,1838,6140,863,5283,5,133,3330,12381,3.718
6,Kishorgonj,294,215,2837,9477,1404,8677,15,399,4550,18768,4.125
6,Madaripur,251,311,2021,6751,365,2256,0,0,2637,9318,3.534
7,Manikgonj,422,620,1622,5418,466,2880,0,0,2510,8918,3.553
8,Munsigonj,366,476,1075,3591,652,4030,0,0,2093,8097,3.869
9,Narayangonj,141,148,1369,4572,447,2763,0,0,1957,7483,3.824
10,Narsingdi,138,225,1291,4313,548,3387,389,8323,2366,16247,6.867
11,Rajbari,727,663,3519,11755,322,1990,0,0,4568,14408,3.154
12,Shariatpur,20,24,1784,5959,1317,8140,0,0,3121,14124,4.525
13,Tangail,254,333,4660,15566,3238,20014,310,8245,8462,44158,5.218
,Dhaka Div.,3807,4568,28061,93735,11817,72986,988,24256,44673,195545,4.377
14,Mymensingh,1132,1303,11376,38001,7888,48757,8975,230324,29371,318385,10.840
15,Netrakona,701,870,3952,13202,1260,7788,87,2313,6000,24173,4.029
16,Jamalpur,38,49,2349,7846,761,4704,38,1011,3186,13610,4.272
17,Sherpur,95,124,1077,3597,3035,18760,54,1437,4261,23918,5.613
,Mymensingh Div,1966,2346,18754,62646,12944,80009,9154,235085,42818,380086,8.877
18,Bagerhat,918,1120,3415,11407,448,2769,0,0,4781,15296,3.199
19,Chuadanga,81,97,953,3184,708,4376,73,1941,1815,9598,5.288
20,Jashore,1144,1494,10173,33981,9141,56450,1725,33738,22183,125663,5.665
21,Jhinaedah,132,167,3155,10539,1459,9018,0,0,4746,19724,4.156
22,Khulna,226,291,3837,12818,79,488,0,0,4142,13597,3.283
23,Kushtia,0,0,4129,13793,3,19,0,0,4132,13812,3.343
24,Magura,18,21,1854,6193,488,3016,0,0,2360,9230,3.911
25,Meherpur,0,0,1294,4323,162,1001,0,0,1456,5324,3.657
26,Narail,88,91,870,2906,108,668,0,0,1066,3665,3.438
27,Satkhira,7527,7569,4788,15994,512,3164,268,7128,13095,33855,2.585
,Khulna Div.,10134,10850,34468,115138,13108,80969,2066,42807,59776,249764,4.178
28,Barguna,495,672,1833,6123,19,117,0,0,2347,6912,2.945
29,Barishal,10,10,9443,31544,120,742,0,0,9573,32296,3.374
30,Bhola,506,664,1880,6280,5407,33370,0,0,7793,40314,5.173
31,Jhalokathi,0,0,1121,3745,14,87,5,133,1140,3965,3.478
32,Patuakhali,1326,1531,6603,22057,161,995,0,0,8090,24583,3.039
33,Pirojpur,557,549,1588,5305,344,2126,0,0,2489,7980,3.206
,Barishal Div.,2894,3426,22468,75054,6065,37437,5,133,31432,116050,3.692
