Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,102,107,148,5332,5673,6855,3808,4511,4915,9140,10184,11770
38,Meherpur,30,30,37,424,392,454,789,609,649,1213,1001,1103
39,Narail,39,41,41,127,204,213,2196,2386,2587,2323,2590,2800
40,Satkhira,115,115,76,1193,787,1746,1698,1076,2348,2891,1863,4094
4,Khulna,1007,1171,3175,20108,22435,25834,24022,29325,24692,44130,51760,50526
41,Jamalpur,35,38,34,797,858,747,3536,3442,2861,4333,4300,3608
42,Mymensing,54,113,94,1022,1155,1196,8169,9352,10207,9191,10507,11403
43,Netrakona,3,3,3,53,56,56,2106,2273,2303,2159,2329,2359
44,Sherpur,25,5,5,137,164,180,1104,1258,1359,1241,1422,1539
5,Mymensing,117,159,136,2009,2233,2179,14915,16325,16730,16924,18558,18909
45,Bogura,224,39,522,3500,4258,2728,1341,216,804,4841,4474,3532
46,Joypurhat,21,26,28,413,502,510,609,711,679,1022,1213,1189
47,Naogaon,106,92,94,360,332,314,1786,1528,1487,2146,1860,1801
48,Natore,101,63,60,2430,2555,3448,3492,3704,4697,5922,6259,8145
49,Chapai Nawabganj,79,72,75,1245,1119,963,1741,1589,1540,2986,2708,2503
50,Pabna,77,74,79,1555,1432,1428,5441,5335,5528,6996,6767,6956
51,Rajshahi,565,590,660,19801,18587,26642,5893,5564,5276,25694,24151,31918
52,Sirajganj,8,7,10,63,190,314,4168,4208,4519,4231,4398,4833
6,Rajshahi,1181,963,1528,29367,28975,36347,24471,22855,24530,53838,51830,60877
53,Dinajpur,1211,81,84,1558,1166,1225,1967,2576,2683,3525,3742,3908
54,Gaibandha,80,64,66,91,683,639,1609,1099,1086,1700,1782,1725
55,Kurigram,12,19,20,81,153,122,1410,2006,2122,1491,2159,2244
56,Lalmonirhat,21,6,5,255,223,232,1495,1198,1332,1750,1421,1564
57,Nilphamari,4,5,6,65,69,82,1487,1536,1717,1552,1605,1799
58,Panchagarh,19,76,75,170,207,193,892,1818,1637,1062,2025,1830
59,Rangpur,52,53,54,877,638,713,2453,1848,1976,3330,2486,2689
60,Thakurgaon,43,42,40,404,489,503,416,564,567,820,1053,1070
7,Rangpur,1442,346,350,3501,3628,3709,11729,12645,13120,15230,16273,16829
61,Habiganj,4,4,4,32,24,30,423,388,465,455,412,495
62,Maulvibazar,0,0,0,-,0,0,1105,1462,1329,1105,1462,1329
63,Sunamganj,0,11,0,93,484,0,537,2928,954,630,3412,954
64,Sylhet,20,20,32,-,42,407,643,284,1006,643,326,1413
8,Sylhet,24,35,36,125,550,437,2708,5062,3754,2833,5612,4191
,BANGLADESH,5690,4786,7223,74197,81470,89153,124527,138019,133558,198724,201722,222711
