Name of Distict/Division,March,,,,April,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Bandarban,346,248,325,230,361,263,325,250
Khagrachhari,305,211,278,205,310,225,278,205
Rangamati,360,247,340,225,356,253,335,220
Chattagram,401,311,389,300,442,305,395,285
Coxs Bazar,375,300,360,270,383,300,358,280
Cumilla,314,240,310,219,330,254,310,230
Chandpur,300,-,290,-,320,240,300,-
Brahmmanbaria,329,-,305,-,330,300,310,275
Noakhali,332,-,320,-,340,-,320,-
Lakshmipur,320,-,295,-,330,250,395,220
Feni,320,-,300,-,357,-,330,-
Chattagram Division,337,260,319,242,351,266,323,246
"Sylhet
DivisionmDivision",296,247,262,232,310,250,284,230
Maulavi Bazar,296,241,268,220,320,249,288,220
Sunamganj,290,210,262,185,341,233,315,206
Habiganj,261,196,261,170,304,242,287,217
Sylhet Division,286,224,263,202,319,244,294,218
Dhaka,346,280,318,264,373,300,344,285
Gagipur,350,240,330,220,380,265,339,239
Manikganj,328,248,300,220,340,280,306,253
Munshiganj,338,225,313,-,335,-,300,-
Narayanganj,368,265,345,240,367,263,340,240
Narsindhi,336,312,300,282,390,320,360,282
Faridpur,319,-,290,-,342,-,320,-
Rajbari,310,255,300,-,310,265,300,-
Madaripur,275,-,-,-,300,225,-,-
Gopalganj,305,256,286,244,300,267,284,260
Sariatpur,278,165,250,-,295,-,-,-
Mymensingh,330,205,309,240,400,290,382,280
Jamalpur,294,-,280,194,381,-,350,267
Sherpur,317,254,297,-,350,300,305,-
Tangail,298,193,262,170,339,240,300,230
Kishoerganj,290,180,265,-,400,313,380,280
Natrokona,300,288,275,280,398,310,354,-
Dhaka Division,317,240,295,235,353,280,331,262
Barishal,314,-,301,-,334,-,320,230
Jhalokathi,385,-,357,-,380,-,353,-
Perojpur,311,237,290,216,333,275,319,246
Bhola,354,-,321,-,354,-,320,-
Patuakhali,314,-,303,-,315,-,302,-
Barguna,332,-,320,-,357,-,321,-
Barishal Division,335,237,315,216,346,275,323,238
