Name of Distict/Division,March,,,,April,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,245,200,225,190,277,246,260,215
Jhenaidah,266,210,252,192,300,253,273,244
Magura,273,0,242,0,306,0,290,0
Narial,270,190,245,0,315,216,300,200
Khulna,312,0,295,0,344,255,325,0
Bagerhat,330,200,295,0,350,250,320,0
Satkhira,246,184,0,0,311,210,0,0
Kushita,293,0,265,0,292,0,265,0
Chuadang,220,0,210,0,256,0,239,0
Meherpur,200,0,187,160,204,0,195,160
Khulna Division,266,197,246,181,296,238,274,205
Rajshahi,266,210,241,206,275,217,246,212
Noagoan,234,197,224,188,292,237,282,236
Natore,252,200,230,194,299,230,275,216
Nawbganj,231,175,222,160,242,220,239,197
Bogura,300,225,276,208,325,238,300,210
Joypurhat,272,220,255,200,300,240,286,215
Pabna,312,270,295,260,310,285,295,270
Sirajganj,270,220,261,210,320,216,300,200
Rajshahi Division,267,215,251,203,295,235,278,220
Rangpur,262,175,245,160,295,191,270,180
Gaibanda,250,209,225,195,283,210,255,204
Kurigarm,260,200,236,185,260,205,246,195
Nilphamari,259,159,243,145,274,179,265,162
Lalmonirhat,240,170,230,155,251,175,237,167
Dinajpur,280,230,259,205,284,219,255,197
Thakurgaon,260,232,245,210,270,250,260,230
Panchagar,277,211,250,185,272,210,250,187
Rangpur Division,261,198,242,180,274,205,255,190
Bangladesh,312,234,291,219,331,255,309,231
