Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,23,20,22,78,98,125,406,366,515,484,464,640
2,Barishal,76,165,155,2186,2515,2098,3377,5435,5135,5563,7950,7233
3,Bhola,-,0,0,-,0,0,1902,1969,1842,1902,1969,1842
4,Jhallokati,398,201,400,4900,4698,4531,1500,2032,2033,6400,6730,6564
5,Patuakhali,-,0,0,-,0,0,947,1062,1131,947,1062,1131
6,Pirojpur,387,387,1476,19325,16683,30802,2697,2806,3492,22022,19489,34294
1,Barishal,884,773,2053,26489,23994,37556,10829,13670,14148,37318,37664,51704
7,Bandarban,151,202,203,345,445,337,240,297,259,585,742,596
8,Brahmanbaria,158,173,1033,836,831,809,1281,1535,1758,2117,2366,2567
9,Chandpur,-,0,0,-,0,0,1794,1781,1745,1794,1781,1745
10,Chittagang,684,742,755,25570,31088,33634,6849,6239,7710,32419,37327,41344
11,Cumilla,14,18,15,46,76,62,4330,4839,5469,4376,4915,5531
12,Cox's Bazar,31,31,32,204,191,195,1379,1376,1306,1583,1567,1501
13,Feni,-,0,0,-,0,0,539,588,652,539,588,652
14,Khagrachhari,280,237,238,532,442,454,689,736,775,1221,1178,1229
15,Laksmipur,-,7,7,448,89,80,635,1000,967,1083,1089,1047
16,Noakhali,-,0,0,-,0,0,1199,1277,1247,1199,1277,1247
17,Rangamati,218,222,228,1817,1387,1373,2036,1519,1539,3853,2906,2912
2,Chittagang,1536,1632,2511,29798,34549,36944,20971,21187,23427,50769,55736,60371
18,Dhaka,1057,418,476,172,1707,1645,2663,1412,1435,2835,3119,3080
19,Faridpur,75,69,69,515,403,422,1100,1216,1204,1615,1619,1626
20,Gazipur,1815,1856,1861,3647,3652,3128,1833,1523,1723,5480,5175,4851
21,Gopalganj,44,44,45,152,141,128,1281,1317,1179,1433,1458,1307
22,Kishorganj,22,34,26,214,327,164,1441,1433,1674,1655,1760,1838
23,Madaripur,13,10,4,117,35,35,698,865,861,815,900,896
24,Manikganj,15,15,15,191,207,203,1098,1177,1162,1289,1384,1365
25,Munshiganj,16,17,17,44,44,47,507,538,576,551,582,623
26,Narayanganj,26,26,26,277,282,260,439,487,467,716,769,727
27,Narsingdi,169,65,82,1304,595,1306,2379,2677,3309,3683,3272,4615
28,Rajbari,127,128,126,327,335,348,1110,1137,1096,1437,1472,1444
29,Shariatpur,33,32,18,197,229,49,1441,1693,988,1638,1922,1037
30,Tangail,104,102,103,57,632,602,3453,3220,3125,3510,3852,3727
3,Dhaka,3516,2816,2868,7214,8589,8337,19443,18695,18799,26657,27284,27136
31,Bagerhat,55,53,19,130,147,109,1023,1085,1200,1153,1232,1309
32,Chuadanga,77,115,169,136,340,443,975,921,1015,1111,1261,1458
33,Jashore,370,336,318,4700,3939,2886,4455,5589,4239,9155,9528,7125
34,Jhenaidah,125,136,146,1427,1523,1644,2114,2273,2743,3541,3796,4387
35,Khulna,47,46,59,146,161,163,1672,1644,1657,1818,1805,1820
36,Kushtia,468,427,439,1981,2014,1957,4685,4761,4557,6666,6775,6514
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,114,123,128,1077,996,1091,1161,1231,1353,2238,2227,2444
38,Meherpur,23,26,57,72,113,290,477,751,798,549,864,1088
39,Narail,2,8,8,19,27,46,1225,1310,1516,1244,1337,1562
40,Satkhira,170,177,121,322,444,655,1066,1172,1724,1388,1616,2379
4,Khulna,1451,1447,1464,10010,9704,9284,18853,20737,20802,28863,30441,30086
41,Jamalpur,7,7,7,38,44,45,2603,3385,2854,2641,3429,2899
42,Mymensing,186,90,148,504,498,533,5633,5918,6419,6137,6416,6952
43,Netrakona,8,9,10,71,75,78,729,730,755,800,805,833
44,Sherpur,14,8,8,23,25,27,721,797,878,744,822,905
5,Mymensing,215,114,173,636,642,683,9686,10830,10906,10322,11472,11589
45,Bogura,24,19,17,706,694,501,7778,7823,4428,8484,8517,4929
46,Joypurhat,18,21,20,192,93,99,823,582,584,1015,675,683
47,Naogaon,14,15,17,70,76,69,1568,1634,1317,1638,1710,1386
48,Natore,131,222,222,1752,1694,1404,4761,3848,3543,6513,5542,4947
49,Chapai Nawabganj,218,254,290,846,1250,1175,1176,999,1286,2022,2249,2461
50,Pabna,407,458,495,2874,2119,2521,4334,3274,3722,7208,5393,6243
51,Rajshahi,229,344,737,1614,2946,3277,1651,1963,1812,3265,4909,5089
52,Sirajganj,67,68,71,552,573,603,2827,2901,2828,3379,3474,3431
6,Rajshahi,1108,1401,1869,8606,9445,9649,24918,23024,19520,33524,32469,29169
