Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Barishal,4658,1885,25.92,2.391,4507,635,257,27.23,2.512,645
34,Jhalakathi,229,93,24.36,2.247,208,254,103,32.91,0.000,312
35,Perojpur,470,190,25.25,2.329,443,198,80,28.33,2.613,209
36,Bhola,16848,6818,30.22,2.787,19005,3648,1476,34.98,3.227,4763
37,Patuakhali,310,125,12.99,1.198,150,74,30,14.54,1.341,40
38,Barguna,0,0,0.00,0.000,0,0,0,0.00,0.000,0
5,"Barishal
Division",22515,9111,28.93,2.668,24313,4809,1946,33.26,3.068,5970
39,Jashore,8369,3387,32.90,3.035,10278,6655,2693,31.11,2.870,7728
40,Jhenaidah,19312,7815,33.51,3.091,24156,7450,3015,33.73,3.111,9380
41,Magura,18369,7434,30.92,2.852,21201,15259,6175,29.10,2.684,16575
42,Narail,10191,4124,28.94,2.669,11009,11192,4529,30.11,2.777,12579
43,Khulna,1271,514,26.83,2.475,1273,930,376,25.98,2.396,902
44,Bagerhat,726,294,27.53,2.539,746,719,291,28.69,2.646,770
45,Satkhira,5234,2118,27.85,2.569,5441,4252,1721,29.67,2.737,4709
46,Kushtia,39118,15830,31.13,2.871,45455,14706,5951,41.30,3.809,22671
47,Chuadanga,15506,6275,29.56,2.727,17109,4500,1821,31.85,2.938,5350
48,Meherpur,40595,16428,29.95,2.763,45383,13864,5610,38.44,3.546,19893
6,"Khulna
Division",158691,64219,30.73,2.835,182051,79527,32183,33.87,3.125,100557
49,Bogura,4269,1728,26.01,2.399,4145,5965,2414,27.30,2.518,6079
50,Joypurhat,2830,1145,26.12,2.409,2759,3046,1233,28.12,2.594,3197
51,Pabna,97980,39650,33.10,3.053,121058,81575,33012,34.20,3.155,104138
52,Sirajgonj,17584,7116,27.57,2.543,18096,14838,6005,28.14,2.596,15586
53,Rajshahi,68260,27623,35.32,3.258,89994,67568,27343,35.20,3.247,88779
54,Noagaon,56277,22774,33.49,3.089,70352,72819,29468,33.92,3.129,92199
55,Natore,53339,21585,34.13,3.148,67953,54054,21874,35.24,3.251,71104
56,Nawabgonj,76142,30813,34.55,3.187,98197,74451,30129,34.70,3.201,96433
7,"Rajshahi
Division",376681,152435,33.61,3.100,472554,374316,151477,34.18,3.152,477515
57,Dinajpur,55868,22609,34.51,3.183,71967,56390,22820,35.46,3.271,74639
58,Thakurgaon,153397,62076,34.90,3.219,199834,166071,67205,36.59,3.375,226821
59,Panchagar,49762,20138,35.17,3.244,65328,65225,26395,36.68,3.383,89304
60,Rangpur,8939,3617,31.80,2.933,10611,8876,3592,33.67,3.106,11155
61,Gaibandha,8949,3621,25.62,2.363,8558,8754,3543,26.68,2.461,8718
62,Kurigram,30643,12401,33.45,3.085,38261,29732,12032,35.06,3.234,38910
63,Nilphamari,12037,4871,31.95,2.947,14355,15101,6111,33.16,3.059,18692
64,Lalmonirhat,3546,1435,32.14,2.965,4254,3978,1610,33.55,3.095,4982
8,"Rangpur
Division",323141,130768,34.25,3.160,413168,354127,143307,35.80,3.302,473222
BANGLADESH,,1099158,444805,32.86,3.031,1348186,1026343,415339,34.23,3.158,1311473
