Name of Crops,2014-15,,2015-16,,2016-17,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Pmpkim (Kharif),27377,100493,28070,104723,27833,103900
Brinjal(Kharif),45644,139792,46068,164667,45665,159891
Patal,24716,84096,25072,85795,24438,85966
Lady’s Finger,28046,51885,28005,53979,28106,54901
Ridge Gourd (Jhinga),23791,45342,24123,47335,25034,48851
Bitter Gourd (Karala),24133,52332,24750,54539,26250,57386
Arum (Kachu),61894,232038,56170,227918,58486,243539
Ash Gourd (Chalkumra),24552,72367,24120,71757,24742,74052
Cucumber,22522,57128,23056,63029,23355,70759
Long bean (Barbati),16626,25254,16908,25815,16085,25206
Indian Spinach (Puishak),25552,76390,25247,78665,25597,79093
Snake Gourd (Chichinga),17737,34691,18468,36836,19130,38692
Amaranth (Danta),26422,69889,27242,75165,26674,72277
Other Kharif vegetables,22768,41956,25302,47007,27263,51864
Karala (Kakrol),11983,24310,12024,27757,11882,27268
Sponga Gourd (Dundal),9181,17266,9645,18047,9960,19450
Colocacia (Kachur Lati),17205,42079,17839,46374,17642,46291
Sajna,0,27067,0,26949,0,28632
"Green Papaya(katcha
Papaya)",5690,198724,4786,201722,7223,222711
Geen Banana,26193,147136,26474,147839,27584,150264
Total,462032,1540235,463369,1605918,472949,1660993
