Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,0,0,-,0,0,2,10,36,2,10,36
2,Barishal,-,0,0,-,0,0,468,240,301,468,240,301
3,Bhola,-,0,0,-,0,0,24,32,32,24,32,32
4,Jhallokati,-,0,0,-,0,0,45,53,63,45,53,63
5,Patuakhali,-,0,0,-,0,0,33,26,28,33,26,28
6,Pirojpur,-,0,0,-,0,0,90,94,94,90,94,94
1,Barishal,-,0,0,-,0,0,662,455,554,662,455,554
7,Bandarban,22,22,0,24,25,102,103,121,47,127,146,149
8,Brahmanbaria,-,0,0,-,0,26,175,184,150,175,184,176
9,Chandpur,-,0,0,-,0,0,123,128,123,123,128,123
10,Chittagang,-,0,0,-,0,0,375,402,416,375,402,416
11,Cumilla,-,0,0,-,0,0,266,307,334,266,307,334
12,Cox's Bazar,2,17,0,9,11,11,227,271,281,236,282,292
13,Feni,-,0,0,-,0,0,67,59,59,67,59,59
14,Khagrachhari,6,6,0,32,34,36,346,379,405,378,413,441
15,Laksmipur,-,0,0,-,0,0,212,197,185,212,197,185
16,Noakhali,-,0,0,-,0,0,84,84,205,84,84,205
17,Rangamati,1,1,0,2,2,1,471,489,299,473,491,300
2,Chittagang,31,46,0,67,72,176,2449,2621,2504,2516,2693,2680
18,Dhaka,0,0,0,0,0,0,91,84,86,91,84,86
19,Faridpur,3,0,0,9,0,0,61,49,49,70,49,49
20,Gazipur,6,14,0,62,59,20,243,238,272,305,297,292
21,Gopalganj,0,0,0,0,0,36,62,62,36,62,62,72
22,Kishorganj,28,0,0,3,0,0,519,565,489,522,565,489
23,Madaripur,0,0,0,0,0,0,11,11,13,11,11,13
24,Manikganj,0,0,0,0,0,0,97,100,105,97,100,105
25,Munshiganj,0,0,0,0,0,0,26,22,24,26,22,24
26,Narayanganj,0,57,0,0,0,0,131,101,103,131,101,103
27,Narsingdi,51,0,57,175,279,393,440,718,939,615,997,1332
28,Rajbari,0,0,0,0,0,0,14,15,15,14,15,15
29,Shariatpur,0,0,0,0,0,0,0,33,54,0,33,54
30,Tangail,30,30,30,33,57,59,662,656,731,695,713,790
3,Dhaka,118,101,87,282,395,508,2357,2654,2916,2639,3049,3424
31,Bagerhat,2,2,0,19,3,0,98,125,139,117,128,139
32,Chuadanga,-,0,0,-,0,0,6,8,9,6,8,9
33,Jashore,14,15,15,30,31,31,203,215,239,233,246,270
34,Jhenaidah,-,0,0,-,0,0,35,38,55,35,38,55
35,Khulna,-,0,0,-,0,0,134,137,140,134,137,140
36,Kushtia,-,0,0,-,0,0,36,42,31,36,42,31
