"Sl.
No.",Species,"Production
(Metric Ton)",%
1,Rui (Labeo rohita),12,0.13
2,Catla (Catla catla),23,0.24
3,Mrigal (Cirrhinus cirrhosus),7,0.07
4,Kalibaus (Labeo calbasu),21,0.22
5,Bata (Labeo Bata),69,0.72
6,Ghonia (Labeo gonius),0,0.00
7,Silver Carp (Hypophthalmichthys molitrix),1,0.01
8,Grass Carp (Ctenopharyngodon idella),1,0.01
9,Common Carp (Cyprinus carpio),0,0.00
10,Other Exotic Carp,0,0.00
11,Pangas (Pangasius pangasius),0,0.00
12,Boal/Air/Guizza Air (Wallago attu/ Sperata aor / Sperata seenghala),332,3.46
13,Shol/Gazar/Taki (Channa striatus/C. marulius/C. punctatus),76,0.79
14,Koi (Anabas testudineus),0,0.00
15,Singi/Magur (Heteropneustes fossilis/Clarias batrachus),28,0.29
16,Big Prawn,0,0.00
17,Small Prawn,159,1.66
18,Tilapia/Nilotica (Oreochromis mossambicus/ O. niloticus),61,0.64
19,Sarpunti (Puntius sarana),0,0.00
20,Other Fish,8799,91.74
T O T A L,,9589,100.00
