,Max.,Min.,Max.,Min.,Max.,Min.,Max.,Min.
Chattagram,29.5,21.6,29.7,22.8,29.7,21.9,30.1,22.3
Sitakunda,29.7,21.4,31.3,20.8,31.3,20.6,31.5,20.9
Sandwip,30.4,21.2,28.4,20.4,30.7,21.3,30.8,21.8
Kutubdia,29.7,22.1,30.1,22.1,29.9,21.6,30.5,22.6
Cumilla,30.3,21.0,30.2,21.3,30.4,21.2,30.8,21.5
Cox's Bazar,30.8,21.9,30.9,22.2,31.0,22.2,31.6,22.9
Teknaf,30.0,21.6,30.1,22.1,30.1,21.9,31.8,22.1
Hatiya,30.1,21.5,30.1,21.7,30.2,21.4,30.9,21.6
Maijdi court,30.4,22.0,30.6,22.5,30.5,22.1,30.9,21.4
Feni,30.2,21.0,30.1,21.0,30.4,21.0,30.0,21.3
Chandpur,30.8,21.5,31.1,21.9,30.3,21.4,31.2,21.9
Rangamati,29.5,20.3,31.1,20.4,31.3,20.5,30.8,20.8
Sylhet,30.9,20.9,30.3,20.9,31.2,20.7,31.4,20.8
Srimangal,30.7,19.3,30.5,19.4,31.4,19.1,31.2,19.4
Dhaka,30.5,21.9,30.8,22.2,30.9,22.1,31.1,22.2
Faridpur,30.7,21.2,30.9,21.4,30.9,21.3,31.1,21.2
Madaripur,30.7,21.0,30.9,21.2,30.7,21.0,31.1,20.8
Mymensingh,29.6,20.8,29.6,20.0,30.0,20.8,30.3,20.9
Tangail,30.5,20.7,30.7,20.8,30.9,20.6,31.0,20.5
Khepupara,30.8,21.8,31.3,22.2,20.7,18.8,31.3,22.0
Barishal,30.8,21.3,30.9,21.6,30.6,21.3,31.0,21.5
Bhola,30.2,21.4,30.6,21.6,30.5,21.4,31.0,21.4
Patuakhali,31.1,21.5,30.9,22.2,31.1,21.6,31.6,21.8
Jashore,31.7,20.5,32.1,20.9,31.7,20.7,31.1,20.7
Chuadanga,31.1,20.2,31.6,20.5,31.4,20.2,31.6,20.3
Khulna,31.1,20.8,31.6,22.0,31.6,21.7,31.7,21.8
Mongla,31.0,22.1,31.3,22.4,31.1,22.0,31.3,22.3
Satkhira,30.8,21.8,31.1,22.0,30.9,21.6,31.4,21.7
Bogura,30.6,20.9,30.8,21.1,21.1,31.5,30.9,21.1
Dinajpur,29.8,20.1,30.0,20.0,30.2,20.0,30.3,20.1
Ishurdi,30.8,20.2,31.3,21.1,31.1,20.3,33.4,20.2
Rajshahi,31.0,20.5,31.7,20.4,31.5,21.3,31.7,20.4
Sayedpur,30.0,20.0,30.2,20.0,30.4,20.0,30.9,20.1
Rangpur,29.5,20.3,29.5,20.1,29.7,20.4,29.9,20.5
Ambagan(Ctg.),-,-,31.1,31.9,31.0,21.7,31.6,22.0
