Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,18,6,18,10,0,9,128,0,101,138,0,110
2,Barishal,-,0,0,-,0,0,1517,2283,1889,1517,2283,1889
3,Bhola,-,0,0,-,0,0,380,404,415,380,404,415
4,Jhallokati,-,0,0,-,0,0,170,253,245,170,253,245
5,Patuakhali,-,0,0,-,0,0,382,478,477,382,478,477
6,Pirojpur,8,8,2,36,42,20,417,433,525,453,433,545
1,Barishal,26,14,20,46,42,29,2994,3851,3652,3040,3893,3681
7,Bandarban,210,499,362,279,281,302,134,163,159,413,444,461
8,Brahmanbaria,-,0,0,-,0,0,988,987,826,988,987,826
9,Chandpur,192,192,2,1,21,15,417,396,400,418,417,415
10,Chittagang,97,98,100,2000,396,1451,8500,1601,5708,10500,1997,7159
11,Cumilla,2,2,2,21,18,22,1244,2288,2592,1265,2306,2614
12,Cox's Bazar,29,29,30,138,140,152,757,756,802,895,896,954
13,Feni,-,0,0,-,0,0,124,137,124,124,137,124
14,Khagrachhari,190,190,178,257,242,105,434,422,605,691,664,710
15,Laksmipur,23,23,22,61,50,51,407,413,341,468,463,392
16,Noakhali,-,0,0,-,0,0,254,263,340,254,263,340
17,Rangamati,269,277,178,1650,1114,1036,1185,711,777,2835,1825,1813
2,Chittagang,1012,1310,874,4407,2262,3134,14444,8137,12674,18851,10399,15808
18,Dhaka,831,839,782,6757,7694,8060,1643,1612,1763,8400,9306,9823
19,Faridpur,14,14,14,32,0,28,257,318,294,289,318,322
20,Gazipur,77,87,2217,130,156,323,264,290,148,394,446,471
21,Gopalganj,53,32,33,62,45,94,637,352,296,699,397,390
22,Kishorganj,12,13,15,94,83,47,828,743,426,922,826,473
23,Madaripur,1,0,0,4,0,0,275,293,300,279,293,300
24,Manikganj,50,48,48,211,113,395,209,323,56,420,436,451
25,Munshiganj,0,0,0,0,0,0,155,92,108,155,92,108
26,Narayanganj,1,2,2,3,11,13,120,131,119,123,142,132
27,Narsingdi,12,42,49,37,480,185,228,1909,279,265,2389,464
28,Rajbari,125,25,0,50,36,0,86,101,143,136,137,143
29,Shariatpur,0,6,0,0,0,0,185,188,236,185,188,236
30,Tangail,98,77,92,292,293,593,865,933,817,1157,1226,1410
3,Dhaka,1274,1185,3252,7872,8911,9738,5752,7285,4985,13424,16196,14723
31,Bagerhat,32,35,10,33,33,18,347,348,323,380,381,341
32,Chuadanga,54,41,34,47,37,50,102,96,116,149,133,166
33,Jashore,106,130,133,342,392,409,500,552,572,842,944,981
34,Jhenaidah,41,3,8,96,11,14,223,350,408,319,361,422
35,Khulna,6,30,29,28,36,37,610,863,912,638,899,949
36,Kushtia,1129,72,72,405,403,403,1269,1298,1298,1674,1701,1701
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,6,7,7,44,48,60,334,395,578,378,443,638
38,Meherpur,87,47,73,418,183,374,320,298,259,738,481,633
39,Narail,2,3,4,12,23,25,527,552,617,539,575,642
40,Satkhira,81,89,89,101,105,107,181,193,240,282,298,347
4,Khulna,1544,457,459,1526,1271,1497,4413,4945,5323,5939,6216,6820
41,Jamalpur,2,2,3,41,17,19,724,274,309,765,291,328
42,Mymensing,220,334,244,2220,1529,1622,2074,5510,6082,4294,7039,7704
43,Netrakona,6,6,5,32,115,39,271,213,309,303,328,348
44,Sherpur,7,0,6,12,12,12,191,243,183,203,255,195
5,Mymensing,235,342,258,2305,1673,1692,3260,6240,6883,5565,7913,8575
45,Bogura,-,0,0,2,2,1,277,277,306,279,279,307
46,Joypurhat,13,8,8,28,26,28,83,74,75,111,100,103
47,Naogaon,8,8,8,38,39,40,442,478,522,480,517,562
48,Natore,7,79,79,15,558,327,405,419,722,420,977,1049
49,Chapai Nawabganj,140,141,142,272,273,307,235,248,296,507,521,603
50,Pabna,142,64,57,32,578,538,1369,924,882,1401,1502,1420
51,Rajshahi,54,101,47,157,346,134,819,1572,808,976,1918,942
52,Sirajganj,6,6,6,6,6,13,749,766,829,755,772,842
6,Rajshahi,370,407,347,550,1828,1388,4379,4758,4440,4929,6586,5828
53,Dinajpur,49,49,50,61,85,75,502,634,489,563,719,564
54,Gaibandha,-,0,0,-,0,0,264,282,241,264,282,241
55,Kurigram,1,1,1,39,2,2,316,102,129,355,104,131
56,Lalmonirhat,-,1,4,-,21,25,61,261,216,61,282,241
57,Nilphamari,-,1,0,-,3,0,225,298,313,225,301,313
58,Panchagarh,6,6,5,7,7,10,275,304,278,282,311,288
59,Rangpur,31,33,33,56,53,54,317,305,284,373,358,338
60,Thakurgaon,34,22,23,382,145,104,624,331,288,1006,476,392
7,Rangpur,121,113,116,545,316,270,2584,2517,2238,3129,2833,2508
61,Habiganj,57,58,60,222,193,250,630,549,551,852,742,801
62,Maulvibazar,1055,829,873,10650,8197,7115,1850,1804,2757,12500,10001,9872
63,Sunamganj,-,1,3,-,0,26,120,108,97,120,108,123
64,Sylhet,92,106,109,100,99,86,272,262,307,372,361,393
8,Sylhet,1204,994,1045,10972,8489,7477,2872,2723,3712,13844,11212,11189
,BANGLADESH,5786,4822,6371,28023,24792,25225,40698,40456,43907,68721,65248,69132
