Item,Year,"Area ‘000, Acres","Production ‘000, M. tons",Per acre Yield (kg)
Major cereals,2016-17,28210,35115,1245
,2015-16,29223,36058,1233
,2014-15,29228,36058,1233
Aus Rice,2016-17,2327,2134,917
,2015-16,2516,2288,909
,2014-15,2583,2328,1094
Aman Rice,2016-17,13797,13656,990
,2015-16,13814,13484,976
,2014-15,13665,13190,965
Boro Rice,2016-17,11060,18014,1629
,2015-16,11794,18938,1606
,2014-15,11961,19192,1604
Wheat,2016-17,1026,1311,1278
,2015-16,1099,1348,1226
,2014-15,1079,1348,1249
Minor cereals,2016-17,968,3026,3127
,2015-16,834,2446,2943
,2014-15,807,2274,2816
Total cereals,2016-17,29178,38141,1307
,2015-16,30057,37156,1236
,2014-15,30035,38332,1276
Potato,2016-17,1235,10216,8272
,2015-16,1175,9474,2160
,2014-15,1164,9254,7950
Jute (bales),2016-17,1823,8247,4.52
,2015-16,1675,7559,4512
,2014-15,1662,7501,4.51
Maize,2016-17,963,3026,3141
,2015-16,827,2445,2956
,2014-15,804,2272,2826
Pulses,2016-17,920,387,379
,2015-16,918,412,378
,2014-15,1011,726,367
Oil Seeds,2016-17,1196,975,815
,2015-16,1124,933,830
,2014-15,1036,301,870
Spices & Condiments,2016-17,1019,3513,3447
,2015-16,977,2488,2546
,2014-15,924,2409,2607
Chillies,2016-17,256,137,535
,2015-16,252,130,515
,2014-15,227,123,545
