"Sl.
No.","S
p
e
c
ie
s",Lower Meghna,,,,,,,Upper Meghna,,,,,,,,Total
,,"ila
h
k
a
o
N","a
lo
h
B","la
h
s
ir
a
B","r
u
p
im
h
s
k
a
L","r
u
p
t
a
ir
a
S","r
u
p
d
n
a
h
C","Sub-
Total","j
n
a
g
ih
s
n
u
M","j
n
a
g
n
a
y
a
r
a
N","a
llim
u
C","id
g
n
ih
s
r
a
N","a
ir
a
b
n
a
m
h
a
r
B","j
n
a
g
e
r
o
h
s
iK","j
n
a
g
ib
a
H","Sub-
Total",
1,Rui,5,9,3,2,5,5,30,7,0,15,5,44,29,0,100,130
2,Catla,3,3,2,1,4,5,18,5,0,8,2,26,12,0,53,71
3,Mrigal,2,3,1,3,1,3,13,3,0,8,1,21,15,0,49,62
4,Kalibaus,0,0,0,0,0,0,0,1,0,3,0,3,4,0,11,11
5,Bata,120,20,26,342,0,25,532,5,0,5,0,12,13,0,36,568
6,Ghonia,0,0,0,0,0,0,0,0,0,1,0,5,0,0,6,6
7,Pangas,0,26,72,0,7,16,121,2,0,3,2,7,7,0,21,142
8,Boal/Air,0,26,46,0,4,17,93,3,0,15,2,32,8,0,60,153
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Other Inland Fish,364,732,768,339,42,522,2767,310,549,73,756,298,115,64,2229,4996
14,Hilsa/Illish,7458,49772,22154,11657,381,18867,110289,220,28,0,172,99,197,5,721,111010
15,Galda,15,36,56,26,0,0,133,4,0,13,1,11,19,0,49,182
16,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Other small
shrimp/prawn",32,100,119,11,9,15,287,21,7,43,5,19,28,13,137,424
Total,,8000,50726,23247,12381,453,19476,114283,583,584,189,947,578,448,83,3472,117755
