SL:,Name of crops,2011-12,2012-2013,2013-14,2014-15,2015-16,2016-17
1,2,3,4,5,6,7,8
1,Aman Paddy Local,1650,1510,1939,1736,1368,2023
2,Aman Paddy H Y V,1521,1733,2113,1960,1566,2221
3,Aman Paddy Pajam,-,-,-,-,,-
4,Aus Paddy Local,-,-,-,-,1336,1920
5,Aus Paddy HYV,-,-,-,-,1315,1920
6,Aus Paddy Pajam,-,-,-,-,,1625
7,Boro Paddy Local,1371,1564,1789,1688,1433,1870
8,Boro Paddy HYV,1526,1724,1909,1848,1622,2038
9,Boro Paddy Pajam,-,-,-,-,,-
10,Wheat,1975,2203,2248,2103,2045,1996
11,Mash,3937,5961,5079,6015,7415,7005
12,Masur,5471,6877,7032,7028,8727,7605
13,Mung,5338,7129,7575,7445,6152,7083
14,Gram,5034,6161,4555,4845,6064,7667
15,Motor,3421,4786,4106,3651,5061,6453
16,Kheshari,2356,3961,3162,2791,4046,4978
17,Mustard,4563,4514,4037,4440,4335,4502
18,Lin seeds,5049,4557,4489,4389,4775,5309
19,Til,3702,4300,3997,4791,4271,3429
20,Groundnut,5260,7545,5067,6020,6621,6539
21,Onion,1573,2819,4165,2887,3356,2134
22,Garlic,2806,3949,7073,5902,7066,10955
23,Chillies (dry),15895,13413,13850,14351,13138,13988
24,Chillies (green),5000,3448,4648,3685,5057,4090
25,Zinger,3523,5494,11653,9573,7461,6509
26,Turmeric,10038,5859,5859,10200,12214,12284
27,Corriander Seeds,4197,4561,6900,11065,8479,7144
28,Betel nut,10500,19517,22284,24831,23155,22760
29,Betel leaves,4192,7392,5354,5354,5127,4583
30,Jute (tossa),2934,2825,3942,4556,4754,3988
31,Jute (masta),2279,2063,3153,3495,3919,3811
32,Tobacco (jati),-,-,-,-,,-
33,Tobacco (Matihari),-,-,-,-,,-
34,Arum,1842,1651,1775,1571,2211,2027
35,karala,2385,2105,2557,2598,2867,2898
36,Jhinga,1801,1729,1883,2212,2429,2296
37,Ladys Finger,1977,1717,1969,2071,2362,2375
38,Cabbage,552,933,1114,929,1122,1439
39,Pumkin,1252,1388,1562,1306,1324,1446
