Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,-,0,0,-,0,0,1157,1195,1261,1157,1195,1261
38,Meherpur,-,0,0,-,0,0,128,130,130,128,130,130
39,Narail,-,0,0,-,0,0,299,303,271,299,303,271
40,Satkhira,-,0,0,-,0,0,648,628,464,648,628,464
4,Khulna,-,0,0,-,0,0,6003,5888,6165,6003,5888,6165
41,Jamalpur,-,0,0,-,0,0,763,529,534,763,529,534
42,Mymensing,-,0,0,-,0,0,1450,1388,1494,1450,1388,1494
43,Netrakona,-,0,0,-,0,0,442,446,469,442,446,469
44,Sherpur,-,0,0,-,0,0,286,323,350,286,323,350
5,Mymensing,0,0,0,0,0,0,2941,2686,2847,2941,2686,2847
45,Bogura,-,0,0,-,0,0,953,836,855,953,836,855
46,Joypurhat,-,0,0,-,0,0,174,166,185,174,166,185
47,Naogaon,-,0,0,-,0,0,520,566,514,520,566,514
48,Natore,-,0,0,-,0,0,1307,1446,1342,1307,1446,1342
49,Chapai Nawabganj,-,0,0,-,0,0,192,193,197,192,193,197
50,Pabna,-,0,0,-,0,0,921,942,957,921,942,957
51,Rajshahi,-,0,0,-,0,0,381,471,460,381,471,460
52,Sirajganj,-,0,0,-,0,0,356,410,430,356,410,430
6,Rajshahi,-,0,0,-,0,0,4804,5030,4940,4804,5030,4940
53,Dinajpur,-,0,0,-,0,0,193,203,209,193,203,209
54,Gaibandha,-,0,0,-,0,0,68,68,75,68,68,75
55,Kurigram,-,0,0,-,0,0,167,168,166,167,168,166
56,Lalmonirhat,-,0,0,-,0,0,189,197,191,189,197,191
57,Nilphamari,-,0,0,-,0,0,15,168,158,15,168,158
58,Panchagarh,-,0,0,-,0,0,113,166,111,113,166,111
59,Rangpur,-,0,0,-,0,0,148,180,182,148,180,182
60,Thakurgaon,-,0,0,-,0,0,56,53,51,56,53,51
7,Rangpur,-,0,0,-,0,0,949,1203,1143,949,1203,1143
61,Habiganj,-,0,0,-,0,0,59,57,122,59,57,122
62,Maulvibazar,-,0,0,-,0,0,63,67,30,63,67,30
63,Sunamganj,-,0,0,-,0,0,-,30,38,-,30,38
64,Sylhet,-,0,0,-,0,0,6,31,57,6,31,57
8,Sylhet,-,0,0,-,0,0,128,185,247,128,185,247
,BANGLADESH,72,57,62,429,315,349,26105,27600,28396,26534,27915,28745
