Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Bandarban,899,364,109.04,10.058,3659,926,375,106.96,9.866,3697
2,Chattagram,8783,3554,140.84,12.991,46174,11327,4584,152.88,14.101,64637
3,Cox's Bazar,2198,889,109.75,10.123,9004,2205,892,109.46,10.097,9009
4,Cumilla,35861,14512,213.76,19.717,286142,32753,13254,200.35,18.480,244940
5,Chandpur,32041,12966,244.33,22.537,292220,33987,13754,235.35,21.709,298576
6,Brahmanbaria,5459,2209,141.41,13.043,28814,4410,1785,143.95,13.278,23696
7,Khagrachari,1226,496,108.16,9.977,4950,364,147,147.55,13.610,2005
8,Noakhali,461,187,117.15,10.806,2016,579,234,119.15,10.990,2575
9,Lakshmipur,821,332,120.70,11.133,3699,707,286,120.90,11.152,3191
10,Feni,480,194,135.74,12.521,2432,592,240,136.78,12.617,3023
11,Rangamati,1025,415,104.54,9.642,4000,807,327,116.85,10.778,3520
1,"Chattagram
Division",89254,36119,205.04,18.913,683110,88657,35878,199.09,18.364,658867
12,Sylhet,2768,1120,123.53,11.394,12763,3252,1316,111.74,10.307,13564
13,Maulavibazar,3789,1533,123.54,11.395,17472,5033,2037,124.70,11.502,23426
14,Sunamgonj,1900,769,121.18,11.178,8594,3846,1556,123.61,11.401,17745
15,Hobigonj,4553,1842,119.58,11.030,20322,4841,1959,120.30,11.096,21739
2,"Sylhet
Division",13010,5265,121.80,11.235,59151,16972,6868,120.71,11.135,76474
16,Dhaka,5739,2322,220.18,20.309,47167,4942,2000,224.95,20.749,41497
17,Gazipur,679,275,143.85,13.269,3646,669,271,150.13,13.848,3749
18,Manikgonj,5776,2337,220.53,20.342,47547,5511,2230,218.46,20.151,44940
19,Munsigonj,94409,38205,352.53,32.517,1242329,93041,37652,354.60,32.708,1231517
20,Narayangonj,6476,2621,268.48,24.764,64900,6082,2461,309.61,28.558,70288
21,Narsingdi,3664,1483,151.78,14.000,20759,3833,1551,138.04,12.733,19750
22,Faridpur,580,235,253.66,23.398,5492,640,259,256.47,23.657,6127
23,Rajbari,454,184,200.42,18.487,3396,372,151,206.03,19.004,2861
24,Madaripur,1318,533,203.00,18.725,9987,1857,751,205.01,18.910,14211
25,Gopalgonj,505,204,238.90,22.036,4503,505,204,242.67,22.384,4574
26,Shariatpur,3357,1359,267.93,24.714,33574,4552,1842,269.55,24.863,45800
27,Kishoregonj,10116,4094,139.18,12.838,52557,10402,4209,141.02,13.007,54754
28,Tangail,8967,3629,146.26,13.491,48956,8934,3615,147.47,13.603,49180
3,"Dhaka
Division",142040,57480,298.91,27.571,1584814,141340,57197,301.23,27.785,1589248
29,Jamalpur,11030,4464,189.44,17.474,77998,12487,5053,190.75,17.594,88908
30,Sherpur,11985,4850,194.40,17.932,86970,13205,5344,198.03,18.266,97609
31,Netrokona,3377,1367,84.30,7.776,10626,4359,1764,90.81,8.376,14775
32,Mymensingh,10393,4206,107.12,9.880,41555,10044,4065,109.00,10.054,40865
4,"Mymensingh
Division",36785,14886,158.15,14.587,217149,40095,16226,161.80,14.924,242156
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Barishal,1661,672,212.57,19.607,13179,3948,1598,219.93,20.286,32411
34,Jhalakathi,627,254,171.43,15.813,4012,688,278,174.85,16.128,4490
35,Perojpur,2602,1053,127.92,11.799,12424,2243,908,132.94,12.262,11130
36,Bhola,14017,5672,230.62,21.272,120664,20041,8110,289.32,26.687,216434
37,Patuakhali,1165,471,160.19,14.776,6966,1138,461,162.41,14.981,6899
38,Barguna,2147,869,196.67,18.141,15761,1449,586,195.21,18.006,10558
5,"Barishal
Division",22219,8992,208.60,19.241,173008,29507,11941,255.96,23.610,281923
39,Jashore,7785,3150,247.85,22.862,72024,7762,3141,253.10,23.346,73332
40,Jhenaidah,4010,1623,219.68,20.263,32882,4162,1684,224.65,20.722,34901
41,Magura,180,73,160.48,14.803,1078,85,34,163.09,15.043,517
42,Narail,54,22,149.75,13.813,302,63,25,144.80,13.356,341
43,Khulna,1529,619,149.46,13.786,8530,1563,633,155.18,14.314,9054
44,Bagerhat,1606,650,160.12,14.769,9599,1296,524,169.13,15.600,8182
45,Satkhira,8451,3420,185.73,17.132,58589,8238,3334,187.35,17.281,57611
46,Kushtia,4958,2006,230.76,21.285,42707,5504,2227,236.52,21.817,48593
47,Chuadanga,3964,1604,228.45,21.072,33803,4606,1864,235.62,21.734,40510
48,Meherpur,3155,1277,253.90,23.420,29901,3480,1408,251.63,23.210,32687
6,"Khulna
Division",35692,14444,217.23,20.037,289415,36759,14876,222.81,20.552,305726
