"Name of
Distict/Division",March,,,,April,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,278,255,255,220,237,207,237,207
Jhenaidah,250,200,225,180,275,235,240,210
Magura,280,-,265,-,271,-,249,-
Narial,280,200,260,-,285,210,265,-
Khulna,300,250,280,225,270,240,245,215
Bagerhat,289,212,269,-,344,264,320,-
Satkhira,265,180,-,-,280,205,-,-
Kushita,280,-,260,198,285,-,264,-
Chuadang,206,-,184,-,200,-,193,-
Meherpur,194,150,170,130,205,165,185,145
Khulna Division,262,207,241,191,265,218,244,194
Rajshahi,238,190,215,170,247,217,247,217
Noagoan,225,188,200,168,235,193,235,193
Natore,226,190,200,175,227,192,224,188
Nawbganj,215,180,195,160,210,189,204,183
Bogura,265,-,240,190,239,-,212,-
Joypurhat,263,205,241,180,263,220,243,200
Pabna,292,215,270,188,258,212,249,203
Sirajganj,239,176,220,-,259,213,247,201
Rajshahi Division,245,192,223,176,242,205,233,198
Rangpur,206,148,175,128,210,148,210,148
Gaibanda,197,133,-,-,227,158,-,-
Kurigarm,218,165,195,140,223,164,221,162
Nilphamari,210,150,190,130,220,160,215,155
Lalmonirhat,209,165,184,140,265,200,244,178
Dinajpur,224,174,200,154,210,170,200,160
Thakurgaon,270,220,245,200,270,240,245,215
Panchagar,241,193,220,175,240,192,229,181
Rangpur Division,222,169,201,152,233,179,222,170
Bangladesh,279,221,258,193,294,228,279,211
