"SL.
No",District Name,Reserved Forest (acre),,"Protected
Forest
(acre)","Acqired/
Vested
Forest
(acre)","Un-
classed
Forest by
FD (acre)","Un-
Classed
Sate
Forest
(acre) RD","Gerzed
Control by
FD
(acre)","Gerzed
total Forest
(FD+RD)"
,,"20th
Amendments","4&6th
Amendments",,,,,,
1,2,3,,4,5,6,7,8,9
1,Dhaka,-,934.74,-,-,-,-,934.74,934.74
2,Gazipur,8650.25,56522.96,-,-,-,-,65173.21,65173.21
3,Mymenshingh,20318.21,18541.93,-,-,-,-,38860.14,38860.14
4,Jamalpur,-,10364.39,-,-,-,-,10364.39,10364.39
5,Sherpur,6327.65,13759.45,-,-,-,-,20087.10,20087.10
6,Netrokona,531.53,1444.06,-,-,-,-,1975.59,1975.59
7,Tangail,55476.38,67400.52,-,-,-,-,122876.90,122876.90
8,Sylhet,23900.63,25538.85,-,-,-,988.88,58395.74,50428.36
9,Hobigonj,33886.73,274.00,-,-,-,2200.00,336.73,36360.73
10,Maulavibazar,59300.32,82.00,-,10932.00,-,1089.41,75125.20,76204.61
11,Sunamgonj,6434.15,11578.16,-,-,-,-,17614.45,17614.45
12,Chittaganj,195754.56,167496.34,46435.46,16402.82,-,-,418594.35,418594.35
13,Cox's Bazar,145695.07,30000.00,33521.42,-,-,-,232421.92,232421.92
14,Bandarban,242693.40,21830.80,-,-,38644.75,494372.54,304873.55,797541.49
15,Rangamati,573270.21,41401.88,,1.50,4202.76,763890.54,630394.36,1378564.13
16,Khagrachari,88492.83,7342.67,-,-,-,454077.95,100038.26,554116.21
17,Cumilla,-,1720.92,-,-,-,-,1720.92,1720.92
18,Feni,2191.43,18000.00,-,-,-,-,20191.43,20191.43
19,Bagerhat,566512.95,-,-,-,-,-,667531.00,667531.00
20,Khulna,546081.61,-,-,-,-,-,357400.00,357400.00
21,Satkhiar,370357.18,-,-,-,-,-,400965.00,400965.00
22,Rangpur,1678.47,1749.03,,21.54,-,-,3446.71,3446.71
23,Nilphamari,-,-,648.04,551.49,-,-,1200.08,1200.08
24,Kurigram,128.59,-,-,-,-,-,128.61,128.61
25,Lalmonirhat,82.62,-,-,-,-,-,82.62,82.62
26,Dinajpur,14609.76,3455.38,-,-,-,-,18750.10,18750.10
27,Thakurgaon,553.42,1038.26,-,-,-,-,2239.60,2239.60
28,Panchagar,33.28,4517.59,-,-,-,-,4611.31,4611.31
29,Naogaon,473.95,-,5991.70,681.99,0.00,-,7147.64,7147.64
30,Noakhali,49593.11,330406.89,4784.72,-,-,-,384784.72,384784.72
31,Lakshmipur,-,50000.00,-,-,-,-,50000.00,50000.00
32,Patuakhali,32485.87,117514.13,-,-,-,-,150000.00,150000.00
33,Barguna,26350.50,48639.50,-,-,-,-,75000.00,75000.00
34,Perojpur,-,6000.00,-,-,-,-,6000.00,6000.00
35,Bhola,73421.78,286578.22,-,-,-,-,360000.00,360000.00
"Total Forest area
(acre)",,3145286.44,1344142.67,91381.89,28591.34,42847.51,1716609.32,4642373.07,6368859.17
