Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,0,0,538,0,0,0,1195,1261,1229,1195,1261,1229
38,Meherpur,0,0,60,0,0,0,130,130,136,130,130,136
39,Narail,0,0,100,0,0,0,303,271,309,303,271,309
40,Satkhira,0,0,408,0,0,0,628,464,673,628,464,673
4,Khulna,0,0,3179,0,0,0,5888,6165,5878,5888,6165,5878
41,Jamalpur,0,0,316,0,0,0,529,534,554,529,534,554
42,Mymensing,0,0,916,0,0,0,1388,1494,1532,1388,1494,1532
43,Netrakona,0,0,322,0,0,0,446,469,554,446,469,554
44,Sherpur,0,0,278,0,0,0,323,350,389,323,350,389
5,Mymensing,0,0,1832,0,0,0,2686,2847,3029,2686,2847,3029
45,Bogura,0,0,466,0,0,0,836,855,861,836,855,861
46,Joypurhat,0,0,136,0,0,0,166,185,186,166,185,186
47,Naogaon,0,0,274,0,0,0,566,514,533,566,514,533
48,Natore,0,0,593,0,0,0,1446,1342,1342,1446,1342,1342
49,Chapai Nawabganj,0,0,111,0,0,0,193,197,224,193,197,224
50,Pabna,0,0,362,0,0,0,942,957,990,942,957,990
51,Rajshahi,0,0,216,0,0,0,471,460,500,471,460,500
52,Sirajganj,0,0,231,0,0,0,410,430,445,410,430,445
6,Rajshahi,0,0,2388,0,0,0,5030,4940,5081,5030,4940,5081
53,Dinajpur,0,0,181,0,0,0,203,209,171,203,209,171
54,Gaibandha,0,0,61,0,0,0,68,75,69,68,75,69
55,Kurigram,0,0,90,0,0,0,168,166,175,168,166,175
56,Lalmonirhat,0,0,188,0,0,0,197,191,208,197,191,208
57,Nilphamari,0,0,154,0,0,0,168,158,174,168,158,174
58,Panchagarh,0,0,93,0,0,0,166,111,111,166,111,111
59,Rangpur,0,0,100,0,0,0,180,182,181,180,182,181
60,Thakurgaon,0,0,49,0,0,0,53,51,67,53,51,67
7,Rangpur,0,0,916,0,0,0,1203,1143,1156,1203,1143,1156
61,Habiganj,0,0,53,0,0,0,57,122,61,57,122,61
62,Maulvibazar,0,0,54,0,0,0,67,30,130,67,30,130
63,Sunamganj,0,0,47,0,0,0,30,38,35,30,38,35
64,Sylhet,0,0,59,0,0,0,31,57,58,31,57,58
8,Sylhet,0,0,214,0,0,0,185,247,284,185,247,284
,BANGLADESH,57,62,17532,315,349,327,27600,28396,27851,27915,28745,28178
