Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,428064,0,0,0,24499,8433,13880,24499,8433,13880
2,Barishal,0,0,232509,0,0,0,7101,7300,7571,7101,7300,7571
3,Bhola,0,0,160857,0,0,0,4569,1647,2472,4569,1647,2472
4,Jhallokati,0,0,68270,0,0,0,4852,4699,1310,4852,4699,1310
5,Patuakhali,0,0,254802,0,0,0,3555,3365,3281,3555,3365,3281
6,Pirojpur,0,0,222208,0,0,0,3520,5349,5359,3520,5349,5359
1,Barishal,0,0,1366710,0,0,0,28019,30793,33873,28019,30793,33873
7,Bandarban,0,0,545,0,0,0,51,52,52,51,52,52
8,Brahmanbaria,0,0,15394,0,0,0,462,474,440,462,474,440
9,Chandpur,0,0,183452,0,0,0,5281,5281,5270,5281,5281,5270
10,Chattogram,0,0,109497,0,0,0,3854,4007,4067,3854,4007,4067
11,Cumilla,0,0,166325,0,0,0,7519,6864,6683,7519,6864,6683
12,Cox's Bazar,0,0,3989,15,50,51,333,328,323,348,378,374
13,Feni,0,0,82206,0,0,0,1688,1470,1519,1688,1470,1519
14,Khagrachhari,0,0,4528,0,0,0,97,92,91,97,92,91
15,Laksmipur,0,0,89877,0,0,0,531,3304,3300,531,3304,3300
16,Noakhali,0,0,284161,0,0,0,6648,13125,12629,6648,13125,12629
17,Rangamati,1,1,6026,8,8,8,251,172,268,259,180,276
2,Chattogram,5,4,946003,23,58,59,26715,35169,34642,26738,35227,34701
18,Dhaka,0,0,22121,0,0,0,886,839,853,886,839,853
19,Faridpur,22,22,287905,588,588,115,8378,8171,8910,8966,8759,9025
20,Gazipur,8,8,77703,286,134,9,4497,2144,2341,4783,2278,2350
21,Gopalganj,22,15,276694,212,242,40,3462,3425,3665,3674,3667,3705
22,Kishorganj,0,0,21730,0,0,0,410,406,551,410,406,551
23,Madaripur,0,0,296514,0,0,0,10251,9072,9394,10251,9072,9394
24,Manikganj,0,0,18148,0,0,0,708,691,669,708,691,669
25,Munshiganj,0,0,11030,0,0,0,218,269,254,218,269,254
26,Narayanganj,0,0,10015,0,0,0,401,414,311,401,414,311
27,Narsingdi,0,0,54931,0,0,0,1115,1268,1348,1115,1268,1348
28,Rajbari,0,0,46867,0,0,0,2373,2336,2177,2373,2336,2177
29,Shariatpur,15,0,87108,656,0,0,3159,644,551,3815,644,551
30,Tangail,3,3,83348,61,60,53,1859,1865,1604,1920,1925,1657
3,Dhaka,70,48,1294114,1803,1024,217,44021,31544,32628,45824,32568,32845
31,Bagerhat,7,7,208119,119,0,136,2789,3558,3349,2908,3558,3485
32,Chuadanga,1,0,15440,6,0,7,359,347,361,365,347,368
33,Jashore,10,10,95162,113,110,107,2718,2707,2180,2831,2817,2287
34,Jhenaidah,0,0,141898,0,0,0,2280,2145,2271,2280,2145,2271
35,Khulna,0,0,91728,0,0,0,1520,1552,1625,1520,1552,1625
36,Kushtia,20,20,54692,110,103,105,1679,1662,1632,1789,1765,1737
