District name,With Food,,,,,,Witout Food,
,one meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,395,0,0,0,0,0,403,0
Jhalokathi,400,340,0,0,0,0,415,0
Perojpur,395,0,0,0,0,0,420,0
Bhola,390,0,0,0,0,0,400,0
Patuakhali,380,340,0,0,0,0,400,360
Barguna,400,0,0,0,0,0,410,0
Barisal Division,393,340,0,0,0,0,408,360
Jessore,0,0,0,0,0,0,308,299
Jhenaidah,366,265,349,224,281,212,417,289
Magura,355,0,330,0,304,0,391,0
Narail,342,0,340,0,313,0,410,318
Khulna,0,0,0,0,0,0,408,309
Bagerhat,465,280,422,250,395,250,494,315
Satkhira,0,0,0,0,0,0,287,257
Kushtia,362,0,330,0,290,0,408,0
Chuadanga,238,0,0,0,0,0,293,0
Meherpur,250,0,0,0,0,0,277,0
Khulna Division,340,273,354,237,316,231,369,298
Rajshahi,342,255,337,243,0,0,357,285
Naogaon,355,293,330,277,303,237,397,320
Natore,0,0,0,0,0,0,345,251
Chapai Nawabganj,293,275,280,265,278,252,305,297
Bogra,0,0,0,0,369,263,425,300
Joypurhat,300,250,0,0,300,250,320,280
Pabna,428,280,350,250,327,0,442,298
Sirajganj,0,0,300,0,0,0,339,290
Rajshahi Division,344,271,319,259,315,251,366,290
Rangpur,308,260,0,0,0,0,370,330
Gaibandha,0,0,0,0,0,0,355,263
Kurigram,336,211,0,0,0,0,389,227
Nilphamari,360,238,0,0,0,0,369,287
Lalmonirhat,313,205,0,0,0,0,396,282
Dinajpur,322,267,315,0,300,0,382,305
Thakurgaon,292,262,0,0,0,0,390,297
Panchagar,348,248,0,0,0,0,367,278
Rangpur Division,326,242,315,0,300,0,377,284
BANGLADESH,375,303,357,236,333,210,399,329
