Station,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug,Sep.,Oct.,Nov.,Dec.
Dinajpur,8.7,13.5,18.5,21.7,23.1,25.9,27,26.9,26.1,21.5,15.7,11.3
Rangpur,9.4,14.1,19,21.4,22.9,25.7,27.1,27,26,22.2,17.3,12.5
Rajshahi,8.5,14.2,19,22.2,24,26.2,26.6,27,26.1,21.7,16.7,11.6
Bogura,9.9,15.4,20.2,22.4,23.6,26.4,27,27.2,26.7,23.2,18.7,****
Mymensingh,10.7,16,19.9,21.4,23.1,25.9,26.7,26.9,25.9,22.5,17.4,14.3
Sylhet,13.4,16.3,19.5,21.1,22.5,24.9,25.9,25.7,25.4,****,****,****
Srimangal,10.6,14.1,18,20.6,22.1,24.9,25.9,25.4,25,21.1,15.3,12.3
Ishurdi,8.6,14.3,18.9,21.9,24,26.4,26.7,27,26.1,21.9,17,13.6
Dhaka,12.6,18,22.3,22.5,24.1,26.1,26.7,27.1,26.9,23.6,19.7,16.4
Cumilla,12.3,17.3,21.1,21.8,23.6,25.7,26.3,26.2,26,22.9,17.7,13.3
Chandpur,12.7,17.7,21.9,22.8,24.1,26,26.5,26.6,26.8,23.7,19.8,16.1
Jeshore,8.9,15.4,20.5,22.6,24.2,26.3,26.6,26.6,26,****,****,****
Faridpur,10,15.8,20.4,22.1,23.8,25.6,26.1,26.5,26,****,****,****
Madaripur,10.2,15.8,20.6,22.2,23.8,25.8,26.2,26.5,26.3,23.6,****,****
Khulna,11.1,17.3,21.9,23.1,24.9,26.9,26.7,27,26.6,23.2,****,****
Satkhira,9.5,15.8,21.4,23.3,25.4,26.8,26.8,26.8,26.6,22.8,18.5,12.4
Barishal,10.3,16.4,21.3,22.6,24.4,26.1,26.4,26.4,26.4,22.8,18,12.8
Bhola,11.2,17,21.8,23.2,24.4,26.3,26.5,26.6,26.4,23.1,20,****
Feni,11.9,17.4,21.2,22.3,23.4,25.2,25.6,25.5,25.5,22.7,19.7,****
M.court,13.3,18,21.8,22.8,23.9,25.9,26.4,26.3,26.4,23.7,19.6,15.3
Hatiya,12.4,17.2,21.3,23.1,24.1,25.9,26,26,25.9,****,****,****
Sitakunda,11,15.4,20.2,22.9,23.8,25.5,25.8,25.8,25.4,22.5,17.1,13.6
Sandwip,12.5,17.2,21.2,23.1,23.6,25.6,25.6,25.9,26,23.3,****,****
Ambagan(Ctg),13.9,18.1,21.8,23.8,24.1,25.7,25.7,25.9,25.7,23.1,****,****
Kutubdia,14.4,17.8,21.6,24.2,24.8,25.9,25.9,26,25.7,****,****,****
Cox's Bazar,15,18.2,22,24.5,25,25.4,25.4,25.6,25.4,23.5,20,17.1
Teknaf,13.5,17,20.8,23.9,25.7,25.8,25.5,25.4,****,****,****,****
Rangamati,12.4,15.5,19.9,22.1,22.5,24.5,25,24.9,24.5,22.2,17.3,14.8
Patuakhali,12,17.6,22.2,23.3,25,26.5,26.5,26.7,26.7,23.7,19.6,14.7
Khepupara,11.3,17.1,21.9,23.5,25.5,26.3,26.2,26.4,26.2,****,****,****
sydpur,9.2,14,18.3,21.1,22.8,25.6,26.7,26.8,25.9,21.3,16,11.7
Tangail,10,15.5,20.1,21.8,23.2,25.9,26.5,26.9,25.9,22.8,****,****
Mongla,12.3,17.9,22.4,23.9,25.3,26.6,26.7,26.9,26.6,****,****,****
chuadanga,8.2,14.5,19.6,22.3,24.1,26.5,26.5,26.7,26,21.8,17.4,11.5
Chattagram,14.1,18,21.9,24,24.4,25.7,25.8,26,26,23.6,19.7,16.2
