Crop,2015-16,,,2016-17,,,2017-18,,
,"Area ‘000’
Acres","Per acre
Yield (Kg)","Production
‘000’ Tons","Area ‘000’
Acres","Per acre
Yield (Kg)","Production
‘000’ Tons","Area ‘000’
Acres","Per acre
Yield (Kg)","Production
‘000’ Tons"
OIL SEEDS (Edible),,,,,,,,,
Til,99,374,37,93,365,34,93,376,35
Rape & Mustard,787,459,362,831,437,363,760,463,352
Groundnut,88,704,62,91,725,66,94,710,67
Soyabean,124,741,92,155,624,97,147,672,99
,,,,,,,0,0,0
Lin Seeds,16,250,4,13,314,4,14,321,4
Castor,-,-,-,-,-,-,0,0,0
Coconut,6,62,374,10,52,409,10,59,467
Other Oil Seeds,4,500,2,3,559,2,4,678,3
,,,,,,,0,0,0
Total Oil Seeds,1124,830,933,1196,815,975,1122,915,1027
SPICES & CONDIMENTS,,,,,,,,,
"Chillies, Kharif",43,720,31,44,713,31,46,564,36
"Chillies, Rabi",209,473,99,212,499,106,204,516,105
Total Chillies,252,515,130,256,535,137,250,786,141
,,,,,,,,,0
Onion,438,3961,1735,459,4067,1866,441,3439,1737
Garlic,150,2546,382,164,2598,425,176,2618,462
Turmeric,62,2258,140,63,2288,144,64,2360,150
Ginger,23,3347,77,23,3369,77,24,3345,79
Coriander Seeds,45,400,18,44,382,17,42,393,17
"Other spices and
Condiments(Temporary)",7,571,4,10,640,7,9,691,6
,,,,,,,0,,0
"Other Condiments & Spices
(Perennial )",0.12,2,2,0.15,2,2,0.333,18,2
,,,,,,,0,,0
Total Spices & Condiments,977,2546,2488,1019,3315,2675,1006,2578,2594
SUGAR CROPS,,,,,,,,,
Sugar Cane,243,17312,4207,227,16988,3862,223,16333,3639
Date Palm(juice),2,90,100,5,52,169,69,56,181
Date Palm(Fruits),1,39,39,.311,12,39,92,12,37
Palmyra Palm(Juice),0.10,140,92,.196,121,90,33,119,91
G. PalmyraPalm(Talsas),0.06,58,66,.396,65,71,49,70,74
Ripe Tal,0.12,78,151,.098,107,161,1,106,160
Total Sugar Crops,246,19247,4735,232,1893,4392,464,901,4182
FIBRES,,,,,,,,,
Jute (bales),1675,4512,7559,1823,4.52,8247,1873,4.75,8895
Cotton (rabi & kharif) (bales),34,970,33,32,968,31,32,951,31
"Sunhemp (Shan pat), Bhadoi",,,,.023,.026,.052,0.083,4.33,.360
"Sunhemp (Shan pat), Rabi",0.01,400,0.04,0.091,0.80,.073,23,32,27
"Other Fibers, Rabi (Simul)",-,-,-,0.006,2,12,20,.32,17
"Total Fibres
(Excluding Mesta)",1709,4442,7592,1855,1855,8313,1925,4659,8970
