Zila/Division,,"Area Under Garden
(Acres)",,,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,,"Total Production of
Inside & Outside Garden
(M.Tons )",,,
,,2015-16,,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,,2017-18,2015-16,,2016-17,2017-18
1,Barguna,,0,0,0,0,0,0,7442,9636,85671,,7442,9636,,85671
2,Barishal,,195,231,200,713,599,600,13341,11461,11377,,14054,12060,,11977
3,Bhola,,40,40,41,146,136,153,20248,18632,21402,,20394,18768,,21555
4,Jhallokati,,0,0,0,0,0,0,6264,6320,5981,,6264,6320,,5981
5,Patuakhali,,0,0,0,0,0,0,7592,14318,11953,,7592,14318,,11953
6,Pirojpur,,114,228,228,893,2318,2320,17864,21096,20922,,18757,23414,,23242
1,Barishal,,349,499,469,1752,3053,3073,72751,81463,157306,,74503,84516,,160379
7,Bandarban,,82,75,75,398,462,462,656,622,622,,1054,1084,,1084
8,Brahmanbaria,,0,0,0,0,0,0,5055,5604,6102,,5055,5604,,6102
9,Chandpur,,0,0,0,0,0,0,8293,8297,9822,,8293,8297,,9822
10,Chattogram,,199,199,200,670,836,838,4666,6019,6022,,5336,6855,,6860
11,Cumilla,,18,0,0,435,0,0,9751,10362,7427,,10186,10362,,7427
12,Cox's Bazar,,661,698,698,2814,3259,3259,7461,7359,7359,,10275,10618,,10618
13,Feni,,10,10,445,53,50,97,2648,2476,2196,,2701,2526,,2293
14,Khagrachhari,,17,17,17,30,28,32,742,722,827,,772,750,,859
15,Laksmipur,,652,0,0,1738,0,0,11299,13060,13036,,13037,13060,,13036
16,Noakhali,,0,0,945,0,0,1491,8922,23443,16021,,8922,23443,,17512
17,Rangamati,,245,245,0,2078,2049,2066,2205,2251,2105,,4283,4300,,4171
2,Chattogram,,1884,1244,2380,8216,6684,8245,61698,80215,71539,,69914,86899,,79784
18,Dhaka,,29,29,184,221,221,0,2629,2671,2670,,2850,,2892,2670
19,Faridpur,,33,37,37,220,216,220,4420,4324,4420,,4640,,4540,4640
20,Gazipur,,18,18,19,169,172,174,2793,2821,2827,,2962,,2993,3001
21,Gopalganj,,19,19,600,214,214,3235,2855,2855,7285,,3069,,3069,10520
22,Kishorganj,,25,25,63,242,280,270,4769,5309,4740,,5011,,5589,5010
23,Madaripur,,0,0,0,0,0,0,6322,6334,6334,,6322,,6334,6334
24,Manikganj,,5,5,5,72,80,80,4967,5563,5568,,5039,,5643,5648
25,Munshiganj,,0,0,0,0,0,0,791,1265,1274,,791,,1265,1274
26,Narayanganj,,6,6,26,38,37,0,1332,1231,1555,,1370,,1268,1555
27,Narsingdi,,0,0,67,0,0,0,1918,2487,1873,,1918,,2487,1873
28,Rajbari,,81,169,124,3172,4532,4811,3038,4216,4587,,6210,,8748,9398
29,Shariatpur,,0,0,0,0,0,0,7694,7005,6425,,7694,,7005,6425
30,Tangail,,14,14,14,103,117,105,3862,4337,3480,,3965,,4454,3585
3,Dhaka,,230,322,1139,4451,5869,8895,47390,50418,53038,,51841,,56287,61933
31,Bagerhat,,335,5343,287,5503,5324,5629,16603,16067,17428,,22106,,21391,23057
32,Chuadanga,,781,112,109,381,538,800,917,898,1321,,1298,,1436,2121
33,Jashore,,420,509,2569,3920,3752,3879,8899,8313,8540,,12819,,12065,12419
34,Jhenaidah,,70,64,67,444,331,354,12977,11261,23,,13421,,11592,377
35,Khulna,,684,655,655,1150,1063,1063,7075,7629,7637,,8225,,8692,8700
36,Kushtia,,62,62,648,616,508,708,12786,13955,13550,,13402,,14463,14258
