District name,January-18,,,,,,,
,With Food,,,,,,"Witout Food
(in TK)",
,one meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,"Femal
e"
Banderban,300,200,0,0,0,0,350,250
Khagrachari,400,250,0,0,0,0,335,225
Rangamati,425,325,380,275,325,225,525,425
Chittagong,455,377,442,323,449,297,495,349
Coxbazar,500,350,450,300,400,250,550,400
Comilla,364,324,350,339,357,0,434,300
Chandpur,0,0,0,0,0,0,336,0
Brahmmanbaria,310,235,300,0,255,216,375,315
Noakhali,458,0,410,0,352,0,503,0
Lakshmipur,290,0,0,0,0,0,340,0
Feni,0,0,0,0,476,0,491,0
Chittagong Division,350,294,389,309,373,247,430,323
Sylhet,382,350,355,271,0,0,396,300
Maulavi Bazar,334,247,357,274,0,0,379,299
Sunamganj,343,242,0,0,0,0,349,272
Habiganj,394,298,0,0,0,0,345,260
Sylhet Division,363,284,356,273,0,0,367,283
Dhaka,404,350,402,320,360,300,440,400
Gazipur,465,398,0,0,344,250,429,320
Manikganj,357,225,313,215,316,200,392,250
Munshiganj,0,0,0,0,427,300,391,350
Narayanganj,435,300,415,288,390,225,444,337
Narsingdi,0,0,369,180,386,375,442,300
Faridpur,358,300,400,0,0,0,500,0
Rajbari,300,0,0,0,0,0,350,0
Madaripur,263,200,0,0,300,250,324,275
Gopalganj,458,405,425,375,411,325,461,418
Shariatpur,300,0,0,0,0,0,347,300
Tangail,357,289,280,0,0,0,355,270
Kishoreganj,0,0,398,310,383,0,435,0
Dhaka Division,370,308,375,281,369,278,408,322
Mymensing,480,300,0,0,0,0,500,320
Jamalpur,340,0,302,200,284,189,371,275
Sherpur,0,0,450,0,0,0,500,0
Netrokona,400,0,350,200,0,0,450,250
Mymensing Division,407,300,367,200,284,189,455,282
