Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,7762,3141,253.10,23.346,73332,8464,3425,262.38,24.202,82896
34,Jhenaidah,4162,1684,224.65,20.722,34901,3899,1578,224.85,20.740,32725
35,Khulna,1563,633,155.18,14.314,9054,1169,473,165.72,15.286,7230
36,Kustia,5504,2227,236.52,21.817,48593,6007,2431,236.13,21.781,52946
37,Magura,85,34,163.09,15.043,517,72,29,168.14,15.509,452
38,Meherpur,3480,1408,251.63,23.210,32687,3203,1296,247.04,22.787,29536
39,Narail,63,25,144.80,13.356,341,79,32,158.38,14.609,467
40,Satkhira,8238,3334,187.35,17.281,57611,7022,2842,193.78,17.874,50792
4,Khulna Division,36759,14876,222.81,20.552,305726,35913,14533,226.28,20.872,303341
41,Jamalpur.,10933,4424,202.94,18.719,82820,10969,4439,206.82,19.077,84681
42,Mymensingh,2435,985,132.02,12.177,12000,2113,855,135.25,12.475,10668
43,Netrokona,1086,439,130.67,12.053,5297,1549,627,134.54,12.410,7779
44,Sherpur,11779,4767,210.04,19.374,92350,8996,3640,205.66,18.970,69060
5,"Mymensingh
Division",26233,10616,196.55,18.130,192467,23627,9561,195.24,18.009,172188
45,Bogura,117885,47705,226.81,20.921,998040,111604,45164,227.10,20.948,946072
46,Joypurhat,73366,29690,221.98,20.475,607905,79748,32272,225.25,20.777,670520
47,Naogaon,34718,14050,210.36,19.404,272612,28939,11711,211.47,19.506,228433
48,Natore,1172,474,193.53,17.851,8466,97,39,194.10,17.904,703
49,"Chapai
Nawabgonj",3397,1375,214.14,19.752,27153,3232,1308,213.71,19.713,25782
50,Pabna,2126,860,140.88,12.995,11180,2057,832,138.57,12.782,10640
51,Rajshahi,94878,38395,286.27,26.405,1013838,95035,38459,283.17,26.119,1004519
52,Sirajgonj,6026,2439,155.10,14.306,34887,6336,2564,155.74,14.365,36833
6,Rajshahi Division,333568,134988,238.86,22.032,2974083,327048,132349,239.48,22.089,2923503
53,Dinajpur,102690,41556,227.80,21.012,873191,104533,42302,226.95,20.934,885546
54,Gaibandha,19380,7843,181.48,16.740,131283,15345,6210,183.12,16.891,104889
55,Kurigram,15498,6272,229.98,21.213,133043,15345,6210,231.59,21.362,132652
56,Lalmonirhat,11635,4708,209.70,19.343,91074,11419,4621,210.34,19.402,89656
57,Nilphamari,55851,22602,213.82,19.723,445766,52025,21053,213.75,19.716,415093
58,Panchagar,23975,9702,221.22,20.405,197975,23432,9482,221.59,20.439,193815
59,Rangpur,126359,51135,230.09,21.223,1085254,111599,45162,230.15,21.229,958735
60,Thakurgaon,52285,21159,206.77,19.072,403545,53971,21841,210.45,19.412,423972
7,"Rangpur
Division",407673,164976,220.87,20.373,3361130,387669,156881,221.44,20.425,3204356
61,Hobigonj,2715,1099,150.48,13.880,15250,2850,1153,154.25,14.228,16410
62,Maulovibazar,2112,855,171.09,15.781,13488,2254,912,174.10,16.059,14648
63,Sunamgonj,2882,1166,136.23,12.566,14655,3153,1276,136.50,12.591,16065
64,Sylhet,2316,937,125.74,11.598,10870,2316,937,130.50,12.037,11282
8,Sylhet Division,10025,4057,145.01,13.376,54264,10573,4279,147.99,13.650,58404
BANGLADESH,,1051458,425502,237.42,21.900,9318412,999072,404303,237.87,21.941,8870805
