Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Mau
nd)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maun
d)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,3239,1311,19.37,1.787,2342,3077,1245,17.35,1.600,1992
34,Jhenaidah,0,0,0.00,0.000,0,0,0,0.00,0.000,0
35,Khulna,56855,23008,20.05,1.849,42551,56848,23005,11.70,1.079,24828
36,Kustia,1514,613,16.80,1.550,949,2483,1005,13.41,1.237,1243
37,Magura,2421,980,16.82,1.551,1520,3015,1220,17.97,1.657,2022
38,Meherpur,280,113,17.13,1.580,179,86,35,15.49,1.429,50
39,Narail,10750,4350,17.32,1.598,6950,16013,6480,17.61,1.625,10528
40,Satkhira,4111,1664,18.02,1.662,2765,3978,1610,11.31,1.043,1680
4,"Khulna
Division",200167,81003,19.37,1.787,144734,188421,76250,12.57,1.160,88414
41,Jamalpur.,52860,21391,17.41,1.606,34352,81645,33040,18.22,1.6802,55514
42,Mymensingh,109785,44428,17.25,1.591,70690,110841,44855,18.26,1.6846,75564
43,Netrokona,95528,38658,17.81,1.643,63507,88675,35885,17.49,1.6134,57896
44,Sherpur,84949,34377,18.72,1.727,59360,72897,29500,18.24,1.6825,49634
5,"Mymensingh
Division",343122,138854,17.79,1.641,227909,354059,143280,18.05,1.6653,238608
45,Bogra,14109,5710,19.71,1.818,10380,18533,7500,18.14,1.6733,12550
46,Joypurhat,9259,3747,20.01,1.846,6916,2100,850,18.11,1.6706,1420
47,Naogaon,58658,23738,20.20,1.863,44229,56897,23025,18.37,1.6944,39013
48,Natore,9077,3673,16.98,1.566,5753,1693,685,18.22,1.6803,1151
49,"Chapai
Nawabgonj",11412,4618,18.59,1.715,7919,9390,3800,17.67,1.6303,6195
50,Pabna,1496,605,21.79,2.010,1217,1915,775,17.89,1.6503,1279
51,Rajshahi,6479,2622,18.50,1.706,4474,4685,1896,17.77,1.6392,3108
52,Sirajgonj,15158,6134,17.66,1.629,9992,15098,6110,17.95,1.6561,10119
6,"Rajshahi
Division",125648,50847,19.38,1.787,90880,110312,44641,18.17,1.6764,74835
53,Dinajpur,25774,10430,19.80,1.826,19049,7796,3155,18.22,1.6802,5301
54,Gaibandha,24858,10059,17.50,1.614,16238,24884,10070,18.22,1.6807,16925
55,Kurigram,42336,17132,19.66,1.813,31069,44514,18014,18.25,1.6831,30320
56,Lalmonirhat,281,114,19.45,1.794,204,321,130,17.51,1.6154,210
57,Nilphamari,1518,614,17.77,1.639,1007,1260,510,18.13,1.6725,853
58,Panchagar,3813,1543,20.80,1.919,2960,2669,1080,17.97,1.6574,1790
59,Rangpur,3400,1376,19.10,1.762,2424,3504,1418,17.47,1.6114,2285
60,Thakurgaon,3378,1367,17.74,1.636,2237,2555,1034,17.98,1.6586,1715
7,"Rangpur
Division",105358,42636,19.12,1.763,75188,87504,35411,18.19,1.6774,59399
61,Hobigonj,30240,12237,18.01,1.661,20329,7908,3200,18.13,1.6719,5350
62,Maulovibazar,6928,2804,17.43,1.608,4507,4208,1703,16.45,1.5173,2584
63,Sunamgonj,46168,18683,17.20,1.587,29641,44665,18075,16.82,1.5514,28042
64,Sylhet,125067,50612,18.34,1.692,85619,126903,51355,18.28,1.6865,86610
8,"Sylhet
Division",208403,84336,18.01,1.661,140097,183684,74333,17.88,1.6491,122586
BANGLADESH,,2675628,1082768,18.23,1.681,1820241,2313473,936212,15.52,1.4318,1340511
