Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,0,0,129,0,0,0,119,124,103,119,124,103
38,Meherpur,0,0,25,0,0,0,14,19,72,14,19,72
39,Narail,0,0,125,0,0,0,77,78,77,77,78,77
40,Satkhira,0,0,370,0,0,0,225,29,249,225,29,249
4,Khulna,0,0,2524,0,0,0,1922,1775,1996,1922,1775,1996
41,Jamalpur,0,0,145,0,0,0,107,107,115,107,107,115
42,Mymensing,0,0,440,0,0,0,380,367,341,380,367,341
43,Netrakona,0,0,121,0,0,0,83,74,85,83,74,85
44,Sherpur,0,0,222,0,0,0,129,137,149,129,137,149
5,Mymensing,0,0,929,0,0,0,699,685,690,699,685,690
45,Bogura,0,0,325,0,0,0,370,376,375,370,376,375
46,Joypurhat,0,0,70,0,0,0,61,66,69,61,66,69
47,Naogaon,0,0,183,0,0,0,632,549,549,632,549,549
48,Natore,0,0,238,0,0,0,621,610,694,621,610,694
49,Chapai Nawabganj,0,0,25,0,0,0,18,19,18,18,19,18
50,Pabna,0,0,531,0,0,0,341,357,337,341,357,337
51,Rajshahi,0,0,130,0,0,0,184,181,183,184,181,183
52,Sirajganj,0,0,128,0,0,0,166,170,173,166,170,173
6,Rajshahi,0,0,1629,0,0,0,2393,2328,2398,2393,2328,2398
53,Dinajpur,0,0,214,0,0,0,205,219,222,205,219,222
54,Gaibandha,0,0,88,0,0,3,32,32,30,32,32,33
55,Kurigram,0,0,106,0,0,0,105,79,86,105,79,86
56,Lalmonirhat,0,0,67,0,0,0,23,25,23,23,25,23
57,Nilphamari,0,0,51,0,0,0,39,56,44,39,56,44
58,Panchagarh,0,0,29,0,0,0,34,35,35,34,35,35
59,Rangpur,0,0,136,0,0,0,87,100,108,87,100,108
60,Thakurgaon,0,0,31,0,0,0,48,41,40,48,41,40
7,Rangpur,0,0,723,0,0,3,573,587,588,573,587,591
61,Habiganj,0,0,15,0,0,0,3,4,4,3,4,4
62,Maulvibazar,0,0,152,0,0,0,143,53,154,143,53,154
63,Sunamganj,0,0,9,0,0,0,1,2,2,1,2,2
64,Sylhet,0,0,32,0,0,0,1,9,9,1,9,9
8,Sylhet,0,0,207,0,0,0,148,68,169,148,68,169
,BANGLADESH,81,22,14804,56,51,229,10910,10761,11428,10966,10812,11657
