Name of Crops,2015-16,,2016-17,,2017-18,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
1,2,3,4,5,6,7
Sugarcane,242943,4207592,227389,3862775,222784,3638731
Date-Palm(Juice),1769,179777,5132,169056,68693,180865
Date-Plam(Fruits),853,39219,311,38939,92333,36974
Ripe Palmyra (Tal),123,150757,98,161104,6326324,159900
"Green Palmyra
(Taler shas)",64,66014,396,71119,48879,74372
Palmyra (Juice),103,92317,196,89721,33036,91216
Total-,245855,4735676,233522,4392714,6792055,4182065
