District name,February-18,,,,,,,
,With Food,,,,,,Witout Food,
,one meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,300,200,0,0,0,0,350,250
Khagrachari,300,250,0,0,0,0,332,277
Rangamati,425,325,380,275,325,225,455,375
Chittagong,470,355,442,321,400,297,495,372
Coxbazar,500,350,450,300,400,250,550,400
Comilla,402,375,349,325,342,300,477,412
Chandpur,0,0,0,0,0,0,332,0
Brahmmanbaria,310,250,300,0,280,215,350,275
Noakhali,373,0,355,0,302,0,415,0
Lakshmipur,290,0,0,0,0,0,340,0
Feni,0,0,0,0,442,0,492,0
Chittagong Division,374,301,379,305,356,257,417,337
Sylhet,379,300,350,273,0,0,398,300
Maulavi Bazar,335,265,310,275,0,0,372,301
Sunamganj,295,206,0,0,0,0,348,226
Habiganj,333,250,0,200,370,0,363,270
Sylhet Division,336,255,330,249,370,0,370,274
Dhaka,404,350,388,340,323,300,442,400
Gazipur,465,308,0,0,343,250,434,319
Manikganj,380,298,354,255,334,238,416,325
Munshiganj,0,0,0,0,421,300,384,325
Narayanganj,435,400,426,369,390,325,436,424
Narsingdi,0,0,357,254,345,0,414,286
Faridpur,350,300,300,0,0,0,500,0
Rajbari,400,0,0,0,0,0,450,0
Madaripur,263,200,0,0,300,250,324,275
Gopalganj,425,350,412,333,397,323,440,377
Shariatpur,306,0,0,0,0,0,366,311
Tangail,357,269,280,0,0,0,355,270
Kishoreganj,0,0,410,0,362,0,438,0
Dhaka Division,378,309,366,310,357,284,415,331
Mymensing,450,300,0,0,0,0,460,310
Jamalpur,331,255,328,200,325,183,346,267
Sherpur,460,0,420,0,0,0,500,0
Netrokona,350,0,300,200,0,0,400,290
Mymensing Division,398,278,349,200,325,183,427,289
