District name,With Food,,,,,,Witout Food,
,one meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,400,0,0,0,0,0,440,0
Jhalokathi,420,0,0,0,0,0,460,420
Perojpur,400,0,0,0,0,0,420,0
Bhola,400,350,360,300,0,0,420,380
Patuakhali,400,0,0,0,0,0,400,0
Barguna,410,0,0,0,0,0,410,0
Barisal Division,405,350,360,300,0,0,425,400
Jessore,0,0,0,0,0,0,295,194
Jhenaidah,349,238,347,237,343,216,395,299
Magura,395,0,375,0,355,0,433,0
Narail,442,0,296,0,266,0,478,315
Khulna,0,0,0,0,375,0,364,313
Bagerhat,385,280,270,190,250,180,413,332
Satkhira,0,0,0,0,0,0,263,197
Kushtia,338,0,314,0,250,0,382,0
Chuadanga,250,0,0,0,0,0,280,0
Meherpur,240,0,0,0,0,0,260,0
Khulna Division,343,259,320,214,307,198,356,275
Rajshahi,334,254,340,251,300,0,345,293
Naogaon,325,269,314,274,396,327,409,244
Natore,0,0,0,0,0,0,337,258
Chapai Nawabganj,292,250,260,250,300,250,298,235
Bogra,373,270,285,0,409,275,475,300
Joypurhat,320,250,0,0,300,220,338,290
Pabna,387,216,343,200,338,170,412,232
Sirajganj,275,0,400,0,0,0,331,271
Rajshahi Division,329,252,324,244,340,207,368,265
Rangpur,340,230,0,0,0,0,330,230
Gaibandha,0,0,0,0,0,0,228,220
Kurigram,336,200,0,0,0,0,325,190
Nilphamari,337,226,325,230,0,0,333,220
Lalmonirhat,293,213,0,0,0,0,297,210
Dinajpur,281,217,278,204,241,200,309,235
Thakurgaon,336,265,0,0,0,0,317,265
Panchagar,334,250,0,0,0,0,308,228
Rangpur Division,322,229,302,217,241,200,306,225
BANGLADESH,364,289,344,257,284,207,391,318
