Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,3,0,0,0,0,19,25,19,19,25,19
2,Barishal,0,25,0,0,0,0,79,0,58,79,0,58
3,Bhola,0,2,0,0,0,0,0,0,6,-,0,6
4,Jhallokati,2,10,0,2,4,0,7,31,58,9,35,58
5,Patuakhali,0,16,0,0,0,0,52,54,49,52,54,49
6,Pirojpur,0,16,0,0,0,0,51,53,50,51,53,50
1,Barishal,2,72,0,2,4,0,208,163,240,210,167,240
7,Bandarban,5,2,17,-,18,17,20,2,3,20,20,20
8,Brahmanbaria,0,0,0,0,0,0,3,3,0,3,3,0
9,Chandpur,0,0,0,0,0,0,0,0,0,0,0,0
10,Chattogram,0,2,0,0,0,0,-,3,0,-,3,0
11,Cumilla,0,2,0,7,0,0,14,14,12,21,14,12
12,Cox's Bazar,0,0,0,0,0,0,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0,0,0,0,0,0,0
14,Khagrachhari,39,25,0,19,32,0,50,52,0,69,84,0
15,Laksmipur,0,0,0,0,0,0,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0
17,Rangamati,-,14,0,-,0,0,36,38,41,36,38,41
2,Chattogram,44,45,17,26,50,17,123,112,56,149,162,73
18,Dhaka,0,0,0,0,0,0,-,0,0,-,0,0
19,Faridpur,0,0,0,0,0,0,1,1,1,1,1,1
20,Gazipur,0,2,0,0,0,0,5,29,0,5,29,0
21,Gopalganj,0,1,0,0,0,0,0,0,1,0,0,1
22,Kishorganj,0,5,23,0,0,23,46,47,8,46,47,31
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0,0,0,0,0,0,0
27,Narsingdi,0,0,5,0,0,5,1,2,1,1,2,6
28,Rajbari,0,0,0,0,0,0,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0,0,0,0,0,0,0
30,Tangail,0,0,0,0,0,0,16,95,0,16,95,0
3,Dhaka,0,9,28,0,0,28,69,174,11,69,174,39
31,Bagerhat,0,2,0,0,0,0,4,8,5,4,8,5
32,Chuadanga,0,0,0,0,0,0,-,2,0,-,2,0
33,Jashore,0,0,0,0,0,0,20,20,11,20,20,11
34,Jhenaidah,0,4,0,0,0,0,3,6,1,3,6,1
35,Khulna,0,6,0,0,0,0,4,6,7,4,6,7
36,Kushtia,0,0,0,0,0,0,-,0,0,-,0,0
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,0,0,6,0,0,0,31,30,38,31,30,38
38,Meherpur,0,0,0,0,0,0,-,0,0,-,0,0
39,Narail,0,0,0,0,0,0,64,46,55,64,46,55
40,Satkhira,0,0,5,0,0,0,4,5,4,4,5,4
4,Khulna,0,0,23,0,0,0,130,123,121,130,123,121
41,Jamalpur,0,0,2,0,0,0,8,8,3,8,8,3
42,Mymensing,0,0,5,0,0,0,24,24,40,24,24,40
43,Netrakona,0,0,1,0,0,0,8,11,9,8,11,9
44,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0
5,Mymensing,0,0,7,0,0,0,40,43,52,40,43,52
45,Bogura,2,0,5,4,6,6,19,23,23,23,29,29
46,Joypurhat,0,0,2,0,0,0,5,5,5,5,5,5
47,Naogaon,0,0,0,0,0,0,-,0,0,-,0,0
48,Natore,0,0,0,0,0,0,-,0,0,-,0,0
49,Chapai Nawabganj,0,0,0,0,0,0,-,0,0,-,0,0
50,Pabna,0,0,0,0,0,0,-,0,0,-,0,0
51,Rajshahi,0,0,0,0,0,0,-,0,0,-,0,0
52,Sirajganj,0,0,0,0,0,0,3,3,0,3,3,0
6,Rajshahi,2,0,7,4,6,6,27,31,28,31,37,34
53,Dinajpur,2,2,15,5,5,0,53,62,61,58,67,61
54,Gaibandha,0,0,2,0,0,0,5,5,9,5,5,9
55,Kurigram,0,0,5,0,0,0,35,15,32,35,15,32
56,Lalmonirhat,0,0,11,0,0,36,51,50,14,51,50,50
57,Nilphamari,12,13,14,60,68,36,75,99,88,135,167,124
58,Panchagarh,44,44,34,101,104,115,39,55,58,140,159,173
59,Rangpur,0,15,3,0,0,0,18,20,15,18,20,15
60,Thakurgaon,0,0,2,0,0,8,12,12,760,12,12,768
7,Rangpur,58,74,85,166,177,195,288,318,1037,454,495,1232
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Maulvibazar,0,0,69,0,0,0,360,286,288,360,286,288
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,23,29,17,42,0,44,65,54,57,107,54,101
8,Sylhet,23,29,86,42,49,44,425,340,345,467,389,389
,BANGLADESH,129,156,333,240,286,290,1310,1304,1890,1550,1590,2180
