Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,6,18,31,0,9,28,0,101,175,0,110,203
2,Barishal,0,0,0,0,0,0,2283,1889,1141,2283,1889,1141
3,Bhola,0,0,0,0,0,0,404,415,208,404,415,208
4,Jhallokati,0,0,0,0,0,0,253,245,264,253,245,264
5,Patuakhali,0,0,0,0,0,0,478,477,494,478,477,494
6,Pirojpur,8,2,2,42,20,26,433,525,463,433,545,489
1,Barishal,14,20,33,42,29,54,3851,3652,2745,3893,3681,2799
7,Bandarban,499,362,362,281,302,303,163,159,180,444,461,483
8,Brahmanbaria,0,0,0,0,0,0,987,826,560,987,826,560
9,Chandpur,192,2,0,21,15,0,396,400,912,417,415,912
10,Chattogram,98,100,99,396,1451,1174,1601,5708,6506,1997,7159,7680
11,Cumilla,2,2,2,18,22,20,2288,2592,2365,2306,2614,2389
12,Cox's Bazar,29,30,118,140,152,235,756,802,625,896,954,860
13,Feni,0,0,0,0,0,0,137,124,233,137,124,233
14,Khagrachhari,190,178,219,242,105,272,422,605,437,664,710,709
15,Laksmipur,23,22,9,50,51,29,413,341,221,463,392,250
16,Noakhali,0,0,0,0,0,0,263,340,406,263,340,406
17,Rangamati,277,178,173,1114,1036,1009,711,777,772,1825,1813,1781
2,Chattogram,1310,874,982,2262,3134,3042,8137,12674,13217,10399,15808,16263
18,Dhaka,839,782,742,7694,8060,8028,1612,1763,1727,9306,9823,9755
19,Faridpur,14,14,14,0,28,26,318,294,290,318,322,316
20,Gazipur,87,2217,184,156,323,297,290,148,432,446,471,729
21,Gopalganj,32,33,0.3,45,94,5,352,296,238,397,390,243
22,Kishorganj,13,15,38,83,47,44,743,426,428,826,473,472
23,Madaripur,0,0,0,0,0,0,293,300,187,293,300,187
24,Manikganj,48,48,47,113,395,390,323,56,57,436,451,447
25,Munshiganj,0,0,0,0,0,0,92,108,107,92,108,107
26,Narayanganj,2,2,2,11,13,14,131,119,130,142,132,144
27,Narsingdi,42,49,48,480,185,143,1909,279,371,2389,464,514
28,Rajbari,25,0,37,36,0,72,101,143,216,137,143,288
29,Shariatpur,6,0,0,0,0,0,188,236,259,188,236,259
30,Tangail,77,92,81,293,593,132,933,817,587,1226,1410,719
3,Dhaka,1185,3252,1193,8911,9738,9151,7285,4985,5029,16196,14723,14180
31,Bagerhat,35,10,11,33,18,21,348,323,269,381,341,290
32,Chuadanga,41,34,9,37,50,55,96,116,126,133,166,181
33,Jashore,130,133,134,392,409,372,552,572,493,944,981,865
34,Jhenaidah,3,8,6,11,14,16,350,408,421,361,422,437
35,Khulna,30,29,30,36,37,30,863,912,655,899,949,685
36,Kushtia,72,72,0,403,403,0,1298,1298,137,1701,1701,137
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,7,7,9,48,60,78,395,578,612,443,638,690
38,Meherpur,47,73,61,183,374,423,298,259,326,481,633,749
39,Narail,3,4,4,23,25,68,552,617,642,575,642,710
40,Satkhira,89,89,88,105,107,107,193,240,241,298,347,348
4,Khulna,457,459,352,1271,1497,1170,4945,5323,3922,6216,6820,5092
41,Jamalpur,2,3,3,17,19,18,274,309,274,291,328,292
42,Mymensing,334,244,320,1529,1622,1366,5510,6082,5844,7039,7704,7210
43,Netrakona,6,5,7,115,39,41,213,309,324,328,348,365
44,Sherpur,0,6,8,12,12,14,243,183,324,255,195,338
5,Mymensing,342,258,338,1673,1692,1439,6240,6883,6766,7913,8575,8205
45,Bogura,0,0,0,2,1,0,277,306,295,279,307,295
46,Joypurhat,8,8,9,26,28,33,74,75,78,100,103,111
47,Naogaon,8,8,11,39,40,40,478,522,570,517,562,610
48,Natore,79,79,57,558,327,386,419,722,744,977,1049,1130
49,Chapai Nawabganj,141,142,145,273,307,260,248,296,288,521,603,548
50,Pabna,64,57,69,578,538,431,924,882,1483,1502,1420,1914
51,Rajshahi,101,47,48,346,134,148,1572,808,823,1918,942,971
52,Sirajganj,6,6,6,6,13,7,766,829,870,772,842,877
6,Rajshahi,407,347,345,1828,1388,1305,4758,4440,5151,6586,5828,6456
53,Dinajpur,49,50,50,85,75,100,634,489,0,719,564,741
54,Gaibandha,0,0,0,0,0,0,282,241,255,282,241,255
55,Kurigram,1,1,0.8,2,2,2,102,129,174,104,131,176
56,Lalmonirhat,1,4,14,21,25,32,261,216,240,282,241,272
57,Nilphamari,1,0,1.4,3,0,0,298,313,274,301,313,274
58,Panchagarh,6,5,5,7,10,10,304,278,293,311,288,303
59,Rangpur,33,33,33,53,54,54,305,284,289,358,338,343
60,Thakurgaon,22,23,12,145,104,106,331,288,245,476,392,351
7,Rangpur,113,116,116.2,316,270,304,2517,2238,1770,2833,2508,2715
61,Habiganj,58,60,66,193,250,269,549,551,654,742,801,923
62,Maulvibazar,829,873,872,8197,7115,7145,1804,2757,2749,10001,9872,9894
63,Sunamganj,1,3,20,0,26,72,108,97,71,108,123,143
64,Sylhet,106,109,107,99,86,115,262,307,292,361,393,407
8,Sylhet,994,1045,1065,8489,7477,7601,2723,3712,3766,11212,11189,11367
,BANGLADESH,4822,6371,4425,24792,25225,24066,40456,43907,42366,65248,69132,67077
