Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,20,22,20,98,125,106,366,515,647,464,640,753
2,Barishal,165,155,174,2515,2098,2170,5435,5135,7528,7950,7233,9698
3,Bhola,0,0,0,0,0,0,1969,1842,2002,1969,1842,2002
4,Jhallokati,201,400,409,4698,4531,3262,2032,2033,1591,6730,6564,4853
5,Patuakhali,0,0,0,0,0,0,1062,1131,1269,1062,1131,1269
6,Pirojpur,387,1476,1479,16683,30802,31999,2806,3492,3616,19489,34294,35615
1,Barishal,773,2053,2082,23994,37556,37537,13670,14148,16653,37664,51704,54190
7,Bandarban,202,203,203,445,337,354,297,259,259,742,596,613
8,Brahmanbaria,173,1033,29,831,809,870,1535,1758,1967,2366,2567,2843
9,Chandpur,0,0,0,0,0,0,1781,1745,2084,1781,1745,2084
10,Chattogram,742,755,755,31088,33634,38774,6239,7710,7539,37327,41344,46313
11,Cumilla,18,15,15,76,62,61,4839,5469,5131,4915,5531,5192
12,Cox's Bazar,31,32,85,191,195,269,1376,1306,1220,1567,1501,1489
13,Feni,0,0,0,0,0,0,588,652,640,588,652,640
14,Khagrachhari,237,238,166,442,454,316,736,775,809,1178,1229,1125
15,Laksmipur,7,7,7,89,80,0,1000,967,1068,1089,1047,1068
16,Noakhali,0,0,0,0,0,0,1277,1247,935,1277,1247,935
17,Rangamati,222,228,228,1387,1373,1315,1519,1539,1530,2906,2912,2845
2,Chattogram,1632,2511,1488,34549,36944,41959,21187,23427,23182,55736,60371,65147
18,Dhaka,418,476,417,1707,1645,1632,1412,1435,1485,3119,3080,3117
19,Faridpur,69,69,69,403,422,390,1216,1204,1208,1619,1626,1598
20,Gazipur,1856,1861,1861,3652,3128,3395,1523,1723,2015,5175,4851,5410
21,Gopalganj,44,45,176,141,128,100,1317,1179,1498,1458,1307,1598
