Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,100190,40545,24.71,2.279,92403,103341,41820,28.17,2.599,108679
2,Barishal,54216,21940,17.58,1.622,35582,42678,17271,19.61,1.809,31237
3,Bhola,185353,75008,17.25,1.591,119328,214491,86800,21.74,2.005,174068
4,Jhalakathi,31365,12693,21.47,1.980,25136,33002,13355,24.84,2.291,30595
5,Patuakhali,79520,32180,22.31,2.058,66213,70992,28729,24.94,2.301,66094
6,Pirojpur,45290,18328,22.39,2.065,37845,36634,14825,24.31,2.243,33248
1,"Barishal
Division",495934,200694,20.34,1.876,376508,501139,202800,23.73,2.189,443921
7,Bandarban,21050,8518,18.79,1.733,14766,29920,12108,20.03,1.847,22366
8,Brahmanbaria,18901,7649,23.58,2.175,16639,20053,8115,27.48,2.535,20573
9,Chandpur,24393,9871,26.98,2.489,24569,24600,9955,27.75,2.560,25483
10,Chattogram,78593,31805,28.66,2.643,84071,87793,35528,28.23,2.604,92506
11,Cumilla,158057,63962,25.12,2.317,148178,174954,70800,28.44,2.623,185718
12,Cox' Bazar,2980,1206,25.95,2.393,2886,8827,3572,28.95,2.670,9537
13,Feni,18593,7524,21.28,1.963,14768,20908,8461,24.68,2.276,19259
14,Khagrachari,5794,2345,21.06,1.942,4554,10655,4312,25.32,2.336,10071
15,Laksmipur,68448,27699,18.67,1.722,47710,69586,28160,26.85,2.477,69747
16,Noakhali,104545,42307,18.68,1.723,72881,92224,37321,26.18,2.415,90132
17,Rangamati,17110,6924,16.29,1.502,10401,15864,6420,14.62,1.349,8660
2,"Chattogram
Division",518464,209811,22.81,2.104,441424,555385,224752,26.73,2.465,554052
18,Dhaka,1618,655,23.30,2.149,1407,1846,747,29.26,2.699,2016
19,Faridpur,13555,5485,15.60,1.439,7892,16260,6580,16.79,1.549,10192
20,Gazipur,3036,1229,26.30,2.426,2980,3351,1356,29.81,2.750,3729
21,Gopalgonj,4197,1698,17.14,1.581,2685,8291,3355,16.19,1.493,5010
22,Kishoregonj,52868,21395,23.25,2.145,45890,59640,24135,29.25,2.698,65112
23,Madaripur,3707,1500,19.28,1.778,2667,3768,1525,15.43,1.424,2171
24,Manikgonj,1452,588,23.07,2.128,1251,3514,1422,19.20,1.771,2519
25,Munsigonj,331,134,25.68,2.369,317,232,94,27.68,2.553,240
26,Narayanganj,323,131,23.89,2.204,288,1705,690,28.74,2.651,1829
27,Narsingdi,698,282,21.70,2.002,565,818,331,26.86,2.477,820
28,Rajbari,2513,1017,14.50,1.337,1360,3237,1310,13.67,1.261,1652
29,Shariatpur,19330,7822,15.26,1.408,11014,22685,9180,18.59,1.715,15742
30,Tangail,2680,1085,15.44,1.424,1545,2068,837,17.67,1.630,1364
3,"Dhaka
Division",106308,43021,20.13,1.856,79862,127415,51562,23.63,2.180,112396
31,Bagerhat,13526,5474,25.66,2.366,12953,14295,5785,26.79,2.471,14297
32,Chuadanga,67070,27142,30.20,2.786,75607,94890,38400,31.60,2.914,111916
