District name,August-18,,,,,,,
,With Food,,,,,,Witout Food,
,one meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,390,231
Khagrachari,357,226,0,0,0,0,400,250
Rangamati,350,258,300,238,0,0,413,287
Chittagong,477,382,460,323,458,303,502,424
Coxbazar,463,338,415,319,366,275,573,388
Comilla,447,316,426,300,402,263,451,450
Chandpur,0,0,0,0,0,0,341,0
Brahmmanbaria,355,275,334,0,260,227,397,301
Noakhali,500,0,400,0,353,0,594,0
Lakshmipur,350,0,0,0,0,0,390,0
Feni,0,0,0,0,486,0,536,0
Chittagong Division,412,299,389,295,387,267,453,333
Sylhet,384,300,364,263,300,0,399,363
Maulavi Bazar,389,300,368,270,0,0,408,319
Sunamganj,296,207,0,0,0,0,302,223
Habiganj,372,300,0,0,350,0,379,304
Sylhet Division,360,277,366,267,325,0,372,302
Dhaka,450,350,430,300,402,300,470,400
Gazipur,417,317,0,0,390,300,485,357
Manikganj,420,388,348,350,311,300,483,450
Munshiganj,0,0,0,0,386,0,417,0
Narayanganj,435,400,418,350,390,325,451,424
Narsingdi,0,0,434,347,401,0,467,350
Faridpur,383,300,350,0,0,0,467,0
Rajbari,400,0,0,0,0,0,450,0
Madaripur,325,300,0,0,300,250,417,340
Gopalganj,360,325,355,300,345,290,431,340
Shariatpur,306,0,0,0,0,0,367,314
Tangail,388,0,369,0,349,0,412,350
Kishoreganj,0,0,386,,367,0,430,0
Dhaka Division,388,340,386,329,364,294,442,369
Mymensing,400,310,345,254,0,0,425,321
Jamalpur,340,200,300,195,280,190,400,260
Sherpur,395,0,378,0,366,0,450,0
Netrokona,350,0,340,300,0,0,385,320
Mymensing Division,371,255,341,250,323,190,415,300
