Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,0,0,0,0,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0,0,0,0,0,0,0
1,Barishal,0,0,0,0,0,0,0,0,0,0,0,0
7,Bandarban,15,15,0,3,3,3,3,2,2,6,5,5
8,Brahmanbaria,0,0,0,0,0,0,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0,0,0,0,0,0,0
10,Chattogram,0,0,0,0,0,0,0,0,0,0,0,0
11,Cumilla,6,6,0,1,1,1,0,0,1,1,1,2
12,Cox's Bazar,0,0,0,0,0,0,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0,0,0,0,0,0,0
14,Khagrachhari,0,0,0,0,0,0,0,0,0,0,0,0
15,Laksmipur,0,0,0,0,0,0,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0
17,Rangamati,16,16,22,384,40,9,615,936,141,999,976,150
2,Chattogram,37,37,23,388,44,13,618,938,144,1006,982,157
18,Dhaka,0,0,0,0,0,0,0,0,0,0,0,0
19,Faridpur,0,0,0,0,0,0,0,0,0,0,0,0
20,Gazipur,0,0,0,0,0,0,0,0,0,0,0,0
21,Gopalganj,0,0,0,0,0,0,0,0,0,0,0,0
22,Kishorganj,0,0,0,0,0,0,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0,0,0,1,1,1,1
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0,0,0,0,0,0,0
28,Rajbari,3,67,4,422,396,0,0,6,402,422,402,402
29,Shariatpur,0,0,0,0,0,0,0,0,0,0,0,0
30,Tangail,3,0,6,10,0,0,40,23,14,50,23,14
3,Dhaka,6,67,10,432,396,0,40,29,417,473,426,417
31,Bagerhat,0,0,0,0,0,0,0,0,0,0,0,0
32,Chuadanga,0,0,0,0,0,0,0,0,0,0,0,0
33,Jashore,0,0,0,0,0,0,0,0,0,0,0,0
34,Jhenaidah,0,15,3,0,42,46,28,18,11,28,60,57
35,Khulna,0,0,0,0,0,0,0,0,0,0,0,0
36,Kushtia,0,0,1,0,0,0,8,11,12,8,11,12
