Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,12704,0,0,0,491,327,329,491,327,329
2,Barishal,0,0,22368,0,0,0,365,1818,1820,365,1818,1820
3,Bhola,0,0,17899,0,0,0,159,824,820,159,824,820
4,Jhallokati,0,0,11106,0,0,0,366,308,310,366,308,310
5,Patuakhali,0,0,37488,0,0,0,1157,1204,1206,1157,1204,1206
6,Pirojpur,0,0,2774,0,0,0,528,62,60,528,62,60
1,Barishal,0,0,104338,0,0,0,3066,4543,4545,3066,4543,4545
7,Bandarban,0,4,5851,0,0,0,72,89,90,72,89,90
8,Brahmanbaria,0,0,2795,0,0,0,143,141,140,143,141,140
9,Chandpur,0,0,18458,0,0,0,779,723,720,779,723,720
10,Chattogram,0,0,15146,0,0,0,522,528,521,522,528,521
11,Cumilla,0,0,13151,0,0,0,608,492,490,608,492,490
12,Cox's Bazar,0,0,6924,0,0,0,621,165,163,621,165,163
13,Feni,0,0,8942,0,0,0,359,368,333,359,368,333
14,Khagrachhari,0,0,17747,0,0,0,370,417,415,370,417,415
15,Laksmipur,0,0,9439,0,0,0,315,359,352,315,359,352
16,Noakhali,0,0,19168,0,0,0,692,766,760,692,766,760
17,Rangamati,0,37,32437,78,120,120,1083,970,877,1161,1090,997
2,Chattogram,0,41,150058,78,120,120,5564,5018,4861,5642,5138,4981
18,Dhaka,0,0,9077,0,0,0,442,417,415,442,417,415
19,Faridpur,2,1,6100,0,0,0,292,285,280,292,285,280
20,Gazipur,2,0,14083,0,0,0,1056,571,567,1056,571,567
21,Gopalganj,0,0,24298,0,0,0,449,646,640,449,646,640
22,Kishorganj,0,0,2559,0,0,0,137,123,121,137,123,121
23,Madaripur,0,0,9689,0,0,0,1396,1430,1100,1396,1430,1100
24,Manikganj,0,0,4775,0,0,0,328,328,320,328,328,320
25,Munshiganj,0,0,4812,0,0,0,242,252,250,242,252,250
26,Narayanganj,0,0,7997,0,0,0,298,303,302,298,303,302
27,Narsingdi,43,37,48774,0,0,0,1194,2370,2010,1194,2370,2010
28,Rajbari,0,0,3589,0,0,0,336,321,320,336,321,320
29,Shariatpur,0,0,15365,0,0,0,22,400,390,22,400,390
30,Tangail,0,0,7335,0,0,0,0,162,160,0,162,160
3,Dhaka,47,38,158452,0,0,0,6192,7608,6875,6192,7608,6875
31,Bagerhat,0,0,18285,0,0,0,810,741,730,810,741,730
32,Chuadanga,0,0,1228,0,0,0,45,53,52,45,53,52
33,Jashore,0,0,5588,0,0,0,211,227,220,211,227,220
34,Jhenaidah,0,0,4233,0,0,0,214,159,150,214,159,150
35,Khulna,0,0,10785,0,0,0,318,340,330,318,340,330
36,Kushtia,0,0,4637,0,0,0,291,298,290,291,298,290
