District name,With Food,,,,,,Witout Food,
,one meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,400,0,0,0,0,0,420,0
Jhalokathi,410,0,0,0,0,0,420,380
Perojpur,390,0,0,0,0,0,425,0
Bhola,390,340,350,300,0,0,420,370
Patuakhali,380,0,0,0,0,0,400,0
Barguna,400,0,0,0,0,0,400,0
Barisal Division,395,340,350,300,0,0,414,375
Jessore,0,0,0,0,0,0,285,171
Jhenaidah,450,230,353,213,350,200,460,310
Magura,392,0,351,0,305,0,438,0
Narail,376,0,358,0,285,0,397,232
Khulna,0,0,0,0,0,0,443,363
Bagerhat,376,280,371,250,311,0,395,265
Satkhira,0,0,0,0,0,0,314,201
Kushtia,332,0,313,0,280,0,372,0
Chuadanga,270,0,0,0,0,0,300,0
Meherpur,247,0,0,0,0,0,273,0
Khulna Division,349,255,349,232,306,200,368,257
Rajshahi,293,266,282,253,0 0,,332,262
Naogaon,325,264,306,260,301,251,350,323
Natore,0,0,0,0,0,0,341,247
Chapai Nawabganj,328,300,310,280,300,260,399,349
Bogra,353,0,345,0,330,0,400,0
Joypurhat,300,240,0,0,300,220,320,250
Pabna,386,237,304,213,288,180,387,244
Sirajganj,300,0,288,0,0,0,330,258
Rajshahi Division,326,261,306,252,304,228,357,276
Rangpur,315,225,0,0,0,0,325,295
Gaibandha,0,0,0,0,0,0,290,210
Kurigram,370,0,0,0,0,0,380,295
Nilphamari,280,170,0,0,0,0,280,182
Lalmonirhat,330,210,330,200,0,0,345,310
Dinajpur,310,240,300,235,290,0,325,260
Thakurgaon,305,250,0,0,0,0,345,255
Panchagar,340,250,0,0,0,0,350,290
Rangpur Division,321,192,315,218,290,0,330,262
BANGLADESH,360,274,343,258,330,230,387,300
