Name of Crops,2015-16,,2016-17,,2017-18,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Gram,15026,6382,14615,6237,12421,4964
Arhar,1331,566,1275,552,1147,465
Lentil(Masur),381653,158228,382224,168837,385399,176633
Pea(Motor),17931,7372,17497,7191,17746,8139
Green gram(Mug),105166,36954,102311,34783,92655,34102
Black gram(Mashkalai),98006,35151,102838,39187,109290,41430
Kheshari,280415,122408,276829,119344,257506,114775
Other Pulses,22333,11190,23347,11224,20897,9298
Total,921861,378251,920936,387355,897061,389806
