Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,0,0,57,0,0,0,269,263,240,269,263,240
38,Meherpur,0,0,2,0,0,0,0,1,2,0,1,2
39,Narail,0,0,10,0,0,0,24,22,20,24,22,20
40,Satkhira,0,0,20,0,0,0,11,12,12,11,12,12
4,Khulna,0,0,414,0,0,0,615,626,616,615,626,616
41,Jamalpur,0,0,149,0,0,0,485,338,427,485,338,427
42,Mymensing,0,0,372,0,0,0,831,743,773,831,743,773
43,Netrakona,0,0,61,0,0,0,137,114,151,137,114,151
44,Sherpur,0,0,105,0,0,0,222,252,282,222,252,282
5,Mymensing,0,0,688,0,0,0,2290,1447,1633,2290,1447,1633
45,Bogura,0,0,73,0,0,0,224,217,215,224,217,215
46,Joypurhat,0,0,67,0,0,0,127,130,131,127,130,131
47,Naogaon,0,0,144,0,0,0,481,451,454,481,451,454
48,Natore,0,0,73,0,0,0,183,197,204,183,197,204
49,Chapai Nawabganj,0,0,0,0,0,0,0,0,0,0,0,0
50,Pabna,0,0,34,0,0,0,78,88,91,78,88,91
51,Rajshahi,0,0,52,0,0,0,190,235,240,190,235,240
52,Sirajganj,0,0,69,0,0,0,226,200,187,226,200,187
6,Rajshahi,0,0,512,0,0,0,1509,1518,1522,1509,1518,1522
53,Dinajpur,0,0,122,0,0,0,268,300,303,268,300,303
54,Gaibandha,0,0,92,0,0,0,175,171,163,175,171,163
55,Kurigram,0,0,566,0,0,0,109,89,101,109,89,101
56,Lalmonirhat,0,0,179,0,0,0,441,452,357,441,452,357
57,Nilphamari,0,0,149,0,0,0,418,407,437,418,407,437
58,Panchagarh,0,0,66,0,0,0,158,166,173,158,166,173
59,Rangpur,0,0,74,0,0,0,138,174,171,138,174,171
60,Thakurgaon,0,0,68,0,0,0,385,401,390,385,401,390
7,Rangpur,0,0,1315,0,0,0,2092,2160,2095,2092,2160,2095
61,Habiganj,0,0,15,0,0,0,19,29,31,19,29,31
62,Maulvibazar,0,0,346,0,0,0,1888,1440,1083,1888,1440,1083
63,Sunamganj,0,0,146,0,0,0,292,264,260,292,264,260
64,Sylhet,39,0,241,74,78,41,283,280,319,357,358,360
8,Sylhet,39,0,748,74,78,41,2482,2013,1693,2556,2091,1734
,BANGLADESH,51,17,7181,119,158,204,15477,14063,14556,15596,14221,14760
