"Sl.
No.",Species,Jamuna,,,,,,,,Brahmaputra,,,,Total,"Grand
Total"
,,"j
n
a
g
k
in
a
M","a
n
b
a
P","lia
g
n
a
T","j
n
a
g
j
a
r
iS","a
r
u
g
o
B","r
u
p
la
m
a
J","a
h
d
n
a
b
ia
G","Sub-
Total","r
u
p
la
m
a
J","a
h
d
n
a
b
ia
G","m
a
r
g
ir
u
K","Sub-
Total",,
1,Rui,16,13,36,31,11,62,14,183,103,37,57,197,380,1278
2,Catla,7,8,22,41,6,34,5,123,76,37,44,157,280,839
3,Mrigal,7,6,26,41,4,22,4,110,74,30,38,142,252,668
4,Kalibaus,5,0,17,5,0,9,0,36,32,34,27,93,129,266
5,Bata,0,4,0,3,0,0,0,7,0,0,0,0,7,1719
6,Ghonia,0,0,0,0,0,0,0,0,0,0,0,0,0,14
7,Pangas,0,0,0,0,0,0,0,0,0,0,0,0,0,1393
8,Boal/Air,61,48,82,5,12,41,22,271,149,150,120,419,690,2172
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0,269
13,Other Inland Fish,571,833,628,1977,56,348,103,4516,1266,788,2636,4690,9206,23664
14,Hilsa/Illish,0,49,30,137,1,99,4,320,8,28,185,221,541,180749
15,Galda,0,4,6,0,6,0,0,16,39,30,0,69,85,5068
16,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,37
19,Other small shrimp/prawn,84,62,83,51,32,43,59,414,337,258,200,795,1209,2959
Total,,751,1027,930,2291,128,658,211,5996,2084,1392,3307,6783,12779,221095
