Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,0,0,0.00,0.000,0,76,31,14.47,0,41
2,Barishal,10725,4340,20.03,1.848,8019,10171,4116,18.01,1.661,6838
3,Bhola,5077,2055,25.64,2.365,4859,4586,1856,17.42,1.607,2982
4,Jhalakathi,70,28,15.76,1.454,41,55,22,15.40,1.420,32
5,Patuakhali,397,161,15.40,1.420,228,995,403,11.14,1.028,414
6,Pirojpur,284,115,19.44,1.793,206,289,117,22.68,2.092,245
1,"Barishal
Division",16553,6699,21.61,1.993,13353,16172,6544,17.48,1.612,10551
7,Bandarban,0,0,0.00,0.000,0,0,0,0,0,0
8,Brahmanbaria,283,115,22.15,2.043,234,4798,1942,18.50,0,3313
9,Chandpur,883,357,17.45,1.610,575,1109,449,16.14,0,668
10,Chattogram,0,0,0.00,0.000,0,0,0,0.00,0,0
11,Cumilla,98,40,17.79,0.000,65,0,0,0.00,0,0
12,Cox' Bazar,266,108,24.38,0.000,242,2997,1213,33.67,0,3767
13,Feni,0,0,0,0,0,0,0,0.00,0,0
14,Khagrachari,0,0,0,0,0,0,0,0.00,0,0
15,Laksmipur,0,0,0,0,0,0,0,0.00,0,0
16,Noakhali,0,0,0,0,0,0,0,0.00,0,0
17,Rangamati,0,0,0,0,0,0,0,0.00,0,0
2,"Chattogram
Division",1530,619,19.55,1.803,1116,8904,3603,0.00,0.000,7748
18,Dhaka,668,270,19.18,1.769,478,616,249,15.01,1.385,345
19,Faridpur,3659,1481,18.05,1.665,2465,3791,1534,18.10,1.670,2561
20,Gazipur,407,165,23.44,2.162,356,0,0,0.00,0.000,0
21,Gopalgonj,166,67,23.30,2.149,144,272,110,23.10,2.131,235
22,Kishoregonj,548,222,19.42,1.791,397,517,209,19.41,1.790,375
23,Madaripur,1790,724,19.20,1.771,1283,0,0,0.00,0.000,0
24,Manikgonj,1914,775,23.31,2.150,1665,607,246,18.40,1.697,417
25,Munsigonj,649,263,13.92,1.284,337,155,63,14.50,1.337,84
26,Narayangonj,592,240,21.38,1.972,472,2466,998,20.01,1.846,1842
27,Narsingdi,597,242,25.40,2.343,566,460,186,20.32,1.874,349
28,Rajbari,700,283,18.46,1.703,482,244,99,18.49,1.706,168
29,Shariatpur,6572,2660,22.21,2.049,5448,5482,2218,24.79,2.287,5073
30,Tangail,2116,856,20.93,1.931,1653,2086,844,24.16,2.229,1881
3,"Dhaka
Division",20378,8247,20.70,1.910,15749,16696,6757,21.39,1.973,13330
31,Bagerhat,3772,1526,19.28,1.778,2715,0,0,0.00,0.000,0
32,Chuadanga,0,0,0.00,0.000,0,0,0,0,0,0
