Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,45692,18491,30.00,2.767,51160,50658,20500,27.98,2.581,52917
34,Jhenaidah,52591,21282,31.66,2.920,62145,75121,30400,27.70,2.555,77683
35,Khulna,7013,2838,15.41,1.422,4035,8105,3280,15.79,1.456,4776
36,Kustia,49332,19964,24.51,2.261,45134,68697,27800,27.60,2.546,70773
37,Magura,9125,3693,24.29,2.240,8273,8179,3310,26.49,2.444,8088
38,Meherpur,22130,8956,34.90,3.219,28829,37561,15200,30.63,2.825,42944
39,Narail,12273,4967,17.35,1.600,7948,13490,5459,19.26,1.776,9696
40,Satkhira,15971,6463,27.10,2.500,16156,15691,6350,24.79,2.287,14522
4,"Khulna
Division",294723,119268,28.38,2.618,312240,386688,156484,28.24,2.605,407612
41,Jamalpur.,4589,1857,19.54,1.803,3347,4374,1770,21.09,1.945,3443
42,Mymensingh,51764,20948,26.80,2.472,51783,41085,16626,30.65,2.827,46998
43,Netrokona,488,197,21.66,1.998,395,1211,490,21.62,1.994,977
44,Sherpur,4978,2014,23.15,2.135,4301,5535,2240,27.81,2.565,5746
5,"Mymensing
h Division",61819,25017,25.93,2.391,59827,52204,21126,29.34,2.706,57164
45,Bogura,46649,18878,27.07,2.497,47137,47136,19075,30.57,2.820,53795
46,Joypurhat,144,58,25.00,2.306,134,620,251,30.67,2.829,710
47,Naogaon,127376,51546,29.39,2.711,139738,146264,59190,32.60,3.007,177988
48,Natore,12254,4959,23.80,2.195,10885,16939,6855,29.28,2.701,18512
49,"Chapai
Nawabgonj",115949,46922,25.94,2.393,112269,130054,52630,27.95,2.578,135671
50,Pabna,35011,14168,19.79,1.826,25867,41944,16974,24.05,2.218,37653
51,Rajshahi,95938,38824,28.97,2.672,103737,116312,47069,30.99,2.858,134527
52,Sirajgonj,9992,4044,23.65,2.181,8820,11676,4725,20.55,1.895,8955
6,"Rajshahi
Division",443313,179399,27.11,2.500,448587,510947,206769,29.77,2.746,567811
53,Dinajpur,12869,5208,24.10,2.223,11577,19047,7708,31.16,2.875,22157
54,Gaibandha,2594,1050,19.10,1.762,1849,3974,1608,28.26,2.606,4191
55,Kurigram,3455,1398,23.00,2.121,2966,3608,1460,23.83,2.198,3209
56,Lalmonirhat,3110,1259,25.80,2.380,2995,12447,5037,32.36,2.985,15033
57,Nilphamari,288,117,17.00,1.568,183,1003,406,30.81,0.000,1154
58,Panchagar,300,121,26.51,2.445,297,692,280,24.94,2.300,644
59,Rangpur,33841,13695,28.45,2.624,35938,39723,16075,32.50,2.998,48194
60,Thakurgaon,23488,9505,27.39,2.526,24014,36622,14820,31.71,2.925,43345
7,"Rangpur
Division",79945,32352,26.75,2.467,79819,117115,47394,31.55,2.910,137927
61,Hobigonj,96846,39191,25.59,2.360,92498,111496,45120,28.85,2.661,120059
62,Maulvibazar,99968,40455,30.24,2.789,112836,113120,45777,28.15,2.597,118875
63,Sunamgonj,14042,5682,26.91,2.482,14107,30770,12452,28.25,2.605,32443
64,Sylhet,115626,46791,26.86,2.477,115909,150305,60825,28.05,2.587,157383
8,"Sylhet
Division",326482,132120,27.52,2.538,335350,405690,164174,28.31,2.612,428760
BANGLADESH,,2326988,941681,24.56,2.266,2133617,2656583,1075061,27.33,2.520,2709643
