Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,349,0,0,0,76,90,107,76,90,107
2,Barishal,0,0,456,0,0,0,204,192,233,204,192,233
3,Bhola,0,0,480,0,0,0,176,151,151,176,151,151
4,Jhallokati,0,0,91,0,0,0,93,99,55,93,99,55
5,Patuakhali,0,0,797,0,0,0,164,152,155,164,152,155
6,Pirojpur,0,0,310,0,0,0,152,195,192,152,195,192
1,Barishal,0,0,2482,0,0,0,865,879,893,865,879,893
7,Bandarban,16,16,557,39,40,42,635,632,630,674,672,672
8,Brahmanbaria,0,0,204,0,0,0,94,181,182,94,181,182
9,Chandpur,0,0,345,0,0,0,81,7,8,81,7,8
10,Chattogram,0,0,409,0,0,0,161,199,210,161,199,210
11,Cumilla,0,0,390,0,0,6,167,150,217,167,150,223
12,Cox's Bazar,0,0,151,0,0,0,141,176,187,141,176,187
13,Feni,0,0,105,0,0,0,21,42,42,21,42,42
14,Khagrachhari,0,0,289,0,0,0,220,226,223,220,226,223
15,Laksmipur,0,0,315,0,0,0,133,90,113,133,90,113
16,Noakhali,0,0,219,0,0,0,65,65,65,65,65,65
17,Rangamati,63,6,337,11,11,0,292,284,297,303,295,297
2,Chattogram,79,22,3320,50,51,48,2010,2052,2174,2060,2103,2222
18,Dhaka,0,0,159,0,0,0,155,508,173,155,508,173
19,Faridpur,0,0,450,0,0,0,236,236,236,236,236,236
20,Gazipur,0,0,249,0,0,0,177,189,191,177,189,191
21,Gopalganj,0,0,439,0,0,0,528,278,237,528,278,237
22,Kishorganj,0,0,85,0,0,0,126,115,77,126,115,77
23,Madaripur,0,0,432,0,0,0,359,432,331,359,432,331
24,Manikganj,0,0,67,0,0,0,49,54,53,49,54,53
25,Munshiganj,0,0,77,0,0,0,53,55,58,53,55,58
26,Narayanganj,0,0,85,0,0,0,70,72,77,70,72,77
27,Narsingdi,0,0,166,0,0,178,133,77,742,133,77,920
28,Rajbari,0,0,125,0,0,0,84,86,57,84,86,57
29,Shariatpur,2,0,396,6,0,0,182,133,138,188,133,138
30,Tangail,0,0,259,0,0,0,148,152,150,148,152,150
3,Dhaka,2,0,2989,6,0,178,2300,2387,2520,2306,2387,2698
31,Bagerhat,0,0,402,0,0,0,126,140,153,126,140,153
32,Chuadanga,0,0,40,0,0,0,48,55,57,48,55,57
33,Jashore,0,0,363,0,0,0,340,354,359,340,354,359
34,Jhenaidah,0,0,262,0,0,0,208,220,220,208,220,220
35,Khulna,0,0,470,0,0,0,292,301,299,292,301,299
36,Kushtia,0,0,340,0,0,0,473,455,407,473,455,407
