Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,107,148,142,5673,6855,6951,4511,4915,4670,10184,11770,11621
38,Meherpur,30,37,37,392,454,440,609,649,657,1001,1103,1097
39,Narail,41,41,42,204,213,217,2386,2587,2608,2590,2800,2825
40,Satkhira,115,76,58,787,1746,1203,1076,2348,1570,1863,4094,2773
4,Khulna,1171,3175,1213,22435,25834,29564,29325,24692,27006,51760,50526,56570
41,Jamalpur,38,34,45,858,747,891,3442,2861,3220,4300,3608,4111
42,Mymensing,113,94,96,1155,1196,1609,9352,10207,12653,10507,11403,14262
43,Netrakona,3,3,2,56,56,58,2273,2303,2344,2329,2359,2402
44,Sherpur,5,5,5,164,180,187,1258,1359,1427,1422,1539,1614
5,Mymensing,159,136,148,2233,2179,2745,16325,16730,19644,18558,18909,22389
45,Bogura,39,522,463,4258,2728,4291,216,804,1421,4474,3532,5712
46,Joypurhat,26,28,22,502,510,508,711,679,737,1213,1189,1245
47,Naogaon,92,94,93,332,314,315,1528,1487,1510,1860,1801,1825
48,Natore,63,60,221,2555,3448,3933,3704,4697,4854,6259,8145,8787
49,Chapai Nawabganj,72,75,81,1119,963,99,1589,1540,2400,2708,2503,2499
50,Pabna,74,79,82,1432,1428,1490,5335,5528,5551,6767,6956,7041
51,Rajshahi,590,660,959,18587,26642,40288,5564,5276,6668,24151,31918,46956
52,Sirajganj,7,10,29,190,314,347,4208,4519,4494,4398,4833,4841
6,Rajshahi,963,1528,1950,28975,36347,51271,22855,24530,27635,51830,60877,78906
53,Dinajpur,81,84,85,1166,1225,1437,2576,2683,3123,3742,3908,4560
54,Gaibandha,64,66,43,683,639,498,1099,1086,1231,1782,1725,1729
55,Kurigram,19,20,20,153,122,152,2006,2122,2611,2159,2244,2763
56,Lalmonirhat,6,5,25,223,232,286,1198,1332,1471,1421,1564,1757
57,Nilphamari,5,6,6,69,82,100,1536,1717,2105,1605,1799,2205
58,Panchagarh,76,75,75,207,193,194,1818,1637,1617,2025,1830,1811
59,Rangpur,53,54,51,638,713,849,1848,1976,2391,2486,2689,3240
60,Thakurgaon,42,40,40,489,503,548,564,567,580,1053,1070,1128
7,Rangpur,346,350,345,3628,3709,4064,12645,13120,15129,16273,16829,19193
61,Habiganj,4,4,4,24,30,32,388,465,494,412,495,526
62,Maulvibazar,0,0,0,0,0,0,1462,1329,1277,1462,1329,1277
63,Sunamganj,11,0,0,484,0,0,2928,954,952,3412,954,952
64,Sylhet,20,32,35,42,407,560,284,1006,1129,326,1413,1689
8,Sylhet,35,36,39,550,437,592,5062,3754,3852,5612,4191,4444
,BANGLADESH,4786,7223,5722,81470,89153,108747,138019,133558,147928,201722,222711,256675
