Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,0,0,0,0,0,0,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0,0,0,0,0,0,0
4,Khulna,0,15,3,0,42,46,36,29,23,36,71,69
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensing,0,0,6,14,0,0,116,120,116,130,120,116
43,Netrakona,0,0,0,0,0,0,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0
5,Mymensing,0,0,6,14,0,0,116,120,116,130,120,116
45,Bogura,25,25,14,8,14,17,35,39,30,43,53,47
46,Joypurhat,0,0,0,5,5,0,19,33,0,24,38,0
47,Naogaon,0,0,0,0,0,0,0,0,0,0,0,0
48,Natore,0,0,9,0,0,0,119,120,125,119,120,125
49,Chapai Nawabganj,253,253,166,16391,16403,16950,6724,6783,6768,23115,23186,23718
50,Pabna,0,0,12,2,0,141,143,0,0,145,0,141
51,Rajshahi,25,0,33,890,809,949,196,172,271,1086,981,1220
52,Sirajganj,12,12,5,1,0,0,21,21,20,22,21,20
6,Rajshahi,315,290,239,17297,17231,18057,7257,7168,7214,24554,24399,25271
53,Dinajpur,97,42,13,302,160,26,1080,514,275,1382,674,301
54,Gaibandha,0,0,0,0,0,0,0,0,0,0,0,0
55,Kurigram,0,0,0,0,0,0,0,0,0,0,0,0
56,Lalmonirhat,2,0,1,4,6,6,2,7,7,6,13,13
57,Nilphamari,0,0,0,0,0,0,0,0,0,0,0,0
58,Panchagarh,1,2,5,21,22,24,78,80,75,99,102,99
59,Rangpur,5,5,2,18,21,17,14,14,12,32,35,29
60,Thakurgaon,0,33,12,0,24,317,9,219,7,9,243,324
7,Rangpur,105,82,33,345,233,390,1183,834,376,1528,1067,766
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0
8,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0
,BANGLADESH,463,491,314,18476,17946,18506,9251,9119,8290,27727,27065,26796
